"Numero","Bloc","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.15N","APE15Nppm","APE13Cppm"
"19","C","D.g.","P+L","Grass",0.374017,1.0745,0.367205,68.1199999999998,0.766666666667248
"20","C","H.l.","P+L","Grass",0.37954,1.07453,0.367205,123.35,1.06666666666699
"21","C","G.v.","P+L","Forb",0.387483,1.07456,0.3672216,202.614,1.36666666666674
"23","C","P.l.","P+L","Forb",0.37752,1.07431,0.3672216,102.984,-1.13333333333188
"24","C","C.n.","P+L","Forb",0.371514,1.07474,0.3672216,42.9240000000003,3.16666666666743
"25","C","R.a.","P+L","Forb",0.378318,1.0746,0.3672216,110.964,1.76666666666714
"26","C","M.a.","P+L","Legumes",0.378244,1.07566,0.3672218,110.222,12.3666666666677
"27","C","T.p.","P+L","Legumes",0.379727,1.07454,0.3672218,125.052,1.16666666666765
"28","C","L.c.","P+L","Legumes",0.38284,1.07463,0.3672218,156.182,2.06666666666688
"29","C","M.s.","P+L","Legumes",0.376025,1.07616,0.3672218,88.0320000000001,17.3666666666672
"30","C","T.r.","P+L","Legumes",0.380696,1.07432,0.3672218,134.742,-1.03333333333344
"32","C","F.o.","L","Grass",0.375003,1.07407,0.367205,77.9799999999997,-3.53333333333206
"33","C","A.o.","L","Grass",0.378468,1.07429,0.367205,112.63,-1.33333333333319
"34","C","D.g.","L","Grass",0.378932,1.07449,0.367205,117.27,0.666666666666593
"35","C","H.l.","L","Grass",0.380395,1.07454,0.367205,131.9,1.16666666666765
"36","C","G.v.","L","Forb",0.382054,1.07467,0.3672216,148.324,2.46666666666728
"38","C","P.l.","L","Forb",0.392779,1.07438,0.3672216,255.574,-0.433333333333952
"39","C","C.n.","L","Forb",0.375839,1.07421,0.3672216,86.174,-2.13333333333177
"40","C","R.a.","L","Forb",0.375482,1.07449,0.3672216,82.604,0.666666666666593
"41","C","M.a.","L","Legumes",0.379421,1.07446,0.3672218,121.992,0.366666666666848
"42","C","T.p.","L","Legumes",0.385131,1.07407,0.3672218,179.092,-3.53333333333206
"43","C","L.c.","L","Legumes",0.380312,1.07428,0.3672218,130.902,-1.43333333333384
"44","C","M.s.","L","Legumes",0.376921,1.07435,0.3672218,96.9920000000002,-0.733333333333697
"45","C","T.r.","L","Legumes",0.382501,1.07441,0.3672218,152.792,-0.133333333331986
"46","C",NA,"T","Temoins",0.367214,1.07428,0.3671595,0.545000000000129,-1.43333333333384
"47","C",NA,"T","Temoins",0.367105,1.07432,0.3671595,-0.544999999999574,-1.03333333333344
