Numero;Bloc;Sp;gf;mod;SLA;LDMC;RDMC_aver;SRL;RMD;RTD;PerColAMF;CF;Leaf_C;Leaf_N;Root_C;Root_N;Leaf_C:N;Root_C:N
28;A;L.c.;Leg;P+L;190,852777777778;0,1967213114754098;0,1921371563700857;2641,90646153846;0,4071;0,2906976744186046;0,4027777777777776;0,571111111111111;43,65;3,07;45,71;2,50;14,21824104234528;18,2840000000000
29;A;M.s.;Leg;P+L;260,455855855856;0,2059369202226345;0,2020076837278473;5216,03865030675;0,3210;0,2369186046511628;NA;NA;43,87;3,51;45,89;2,68;12,49857549857550;17,1231343283582
30;A;T.r.;Leg;P+L;296,960386473430;0,1754237288135593;0,1594949327130753;8881,89687500000;0,2917;0,1684210526315790;0,3229166666666666;0,631000000000000;47,89;4,62;44,72;2,94;10,36580086580087;15,2108843537415
1;B;N.s.;Grass;P;190,745454545455;0,2689486552567237;0,1311316172899466;11842,84814814815;0,2616;0,1569767441860465;0,3333333333333334;0,567000000000000;45,59;5,02;44,39;1,58;9,08167330677291;28,0949367088608
2;B;F.o.;Grass;P;115,900970873786;0,2640348628556780;0,1067022919305307;18149,16813008130;0,1960;0,1825467497773820;0,0300000000000000;0,440000000000000;47,20;2,84;45,00;1,26;16,61971830985916;35,7142857142857
3;B;A.o.;Grass;P;258,273654390935;0,2274191470171369;0,1053046514247100;24358,13582887701;0,1791;0,1628919860627178;0,0200000000000000;0,361000000000000;47,69;3,51;46,95;1,16;13,58689458689459;40,4741379310345
4;B;D.g.;Grass;P;264,550898203593;0,2420991591765729;0,1580621985014882;26264,01168831169;0,1610;0,1871202916160389;0,2500000000000000;0,406000000000000;47,70;4,16;46,05;1,14;11,46634615384615;40,3947368421053
5;B;H.l.;Grass;P;353,627751196172;0,2108768035516093;0,1613264620210621;47252,60138888889;0,1401;0,1374045801526717;0,0200000000000000;0,355000000000000;46,77;3,10;46,76;1,12;15,08709677419355;41,7500000000000
6;B;G.v.;Forbs;P;277,577777777778;0,2159568086382724;0,1273764258555133;28573,44029850746;0,1647;0,1642156862745098;0,0000000000000000;0,598000000000000;47,45;5,23;45,48;2,02;9,07265774378585;22,5148514851485
7;B;C.r.;Forbs;P;324,875531914894;0,1893634165995165;0,0735594605639559;46600,34444444445;0,1685;0,0962566844919786;0,0599999999999999;0,449000000000000;47,74;6,44;47,46;2,59;7,41304347826087;18,3243243243243
8;B;P.l.;Forbs;P;251,681977671451;0,1357730619315721;0,1176470588235294;14525,59166666667;0,2435;0,1479198767334360;0,5700000000000001;0,693000000000000;46,16;3,37;46,53;1,14;13,69732937685460;40,8157894736842
9;B;C.n.;Forbs;P;237,493640897756;0,1622988970960235;0,1680040120361083;4471,43816631130;0,3281;0,2643742953776775;0,3513513513513514;0,583000000000000;45,59;3,39;42,71;0,91;13,44837758112094;46,9340659340659
10;B;R.a.;Forbs;P;348,917157490397;0,0979126183163042;0,1930343354690323;7222,61361702128;0,2365;0,3150134048257373;0,0000000000000000;NA;44,00;4,49;47,76;0,97;9,79955456570156;49,2371134020619
11;B;M.a.;Leg;P;188,351824817518;0,1974917111143146;0,0910736508654825;10408,91180124224;0,3463;0,1020278833967047;0,1224489795918368;0,575000000000000;39,44;4,41;40,94;2,94;8,94331065759637;13,9251700680272
12;B;T.p.;Leg;P;334,240072202166;0,2061932410302219;0,1007133864876206;14641,55333333333;0,2702;0,1191658391261172;0,4300000000000001;0,515000000000000;48,76;6,41;45,91;2,97;7,60686427457098;15,4579124579125
13;B;L.c.;Leg;P;243,888888888889;0,1753143261908978;0,1056537648817193;7700,13414634146;0,3466;0,1376762928139691;0,2000000000000001;0,564000000000000;42,86;4,64;47,94;2,72;9,23706896551724;17,6250000000000
14;B;M.s.;Leg;P;311,668666666667;0,1974203737825743;0,1117662589104990;8241,62440944882;0,3458;0,1291963377416073;0,0978260869565217;0,627000000000000;44,62;5,74;45,04;2,75;7,77351916376307;16,3781818181818
15;B;T.r.;Leg;P;387,259428571429;0,1372333751568381;0,0731050404001539;13894,13157894737;0,3131;0,0935039370078740;0,0000000000000000;0,699000000000000;47,28;6,70;44,93;3,55;7,05671641791045;12,6563380281690
17;B;F.o.;Grass;P+L;176,948611111111;0,2312881464824927;0,1099055444362513;21165,22204472843;0,1763;0,1935683364254793;0,4400000000000001;0,595000000000000;47,45;4,27;46,20;1,35;11,11241217798595;34,2222222222222
18;B;A.o.;Grass;P+L;241,017919075145;0,2499638780523046;0,1164846593863754;28508,09151785714;0,1688;0,1567529741077677;0,0400000000000000;0,388000000000000;47,98;2,67;46,51;1,09;17,97003745318352;42,6697247706422
19;B;D.g.;Grass;P+L;290,348842592593;0,2083936324167873;0,1186340140666045;25271,13642857143;0,1722;0,1699029126213593;0,0400000000000000;0,402000000000000;47,42;4,34;42,78;1,05;10,92626728110599;40,7428571428571
20;B;H.l.;Grass;P+L;394,239436619718;0,2029441189081035;0,1553249729454453;30359,86803278689;0,1517;0,1823617339312406;0,0300000000000000;0,358000000000000;46,05;2,89;47,73;1,04;15,93425605536332;45,8942307692308
21;B;G.v.;Forbs;P+L;230,490697674419;0,2047619047619048;0,1382906370437542;18325,12909836066;0,1764;0,2232387923147301;0,0300000000000000;0,660000000000000;46,56;4,89;45,72;1,82;9,52147239263804;25,1208791208791
23;B;P.l.;Forbs;P+L;258,943352601156;0,1260381757249016;0,1101737597582473;14921,32514285715;0,3038;0,0924458531431590;0,5555555555555557;0,640000000000000;46,34;3,80;46,32;1,49;12,19473684210526;31,0872483221477
24;B;C.n.;Forbs;P+L;195,547300000000;0,1816563425311995;0,1506591337099812;8290,33125000000;0,2181;0,3228410008071025;0,3200000000000000;0,746000000000000;46,37;3,54;45,27;1,11;13,09887005649717;40,7837837837838
25;B;R.a.;Forbs;P+L;319,057497181511;0,1002373149508419;0,1824085005903188;6430,21229773463;0,3558;0,1563765182186235;0,0000000000000000;0,451000000000000;43,95;4,12;47,67;1,15;10,66747572815534;41,4521739130435
26;B;M.a.;Leg;P+L;221,403743315508;0,1994241228537912;0,1267353149622712;9147,13980263158;0,2748;0,1843541540327471;0,1444444444444445;0,519000000000000;41,04;4,09;43,30;3,05;10,03422982885086;14,1967213114754
27;B;T.p.;Leg;P+L;281,095477386935;0,2188015393073117;0,1156094581624640;10773,09056603774;0,2792;0,1516018306636156;0,2100000000000000;0,659000000000000;47,56;5,37;46,18;2,41;8,85661080074488;19,1618257261411
28;B;L.c.;Leg;P+L;220,681052631579;0,1938379922464803;0,1096947725412232;5327,97931769723;0,3848;0,1614457831325301;0,2700000000000001;0,609000000000000;44,47;3,91;46,97;2,51;11,37340153452685;18,7131474103586
29;B;M.s.;Leg;P+L;NA;0,2117751413682226;0,1374552887072049;7304,83048327137;0,3276;0,1624396135265701;0,0600000000000000;0,731000000000000;43,17;4,94;43,93;2,61;8,73886639676113;16,8314176245211
30;B;T.r.;Leg;P+L;363,080717488789;0,1563705210013323;0,1181721038405934;7869,88351063830;0,3060;0,1727941176470588;0,2100000000000000;0,619000000000000;45,30;5,57;46,56;2,85;8,13285457809695;16,3368421052632
1;C;N.s.;Grass;P;165,800000000000;0,3418803418803419;0,1616031027795733;9673,10666666667;0,2507;0,2094972067039106;0,0600000000000000;0,688000000000000;45,69;3,56;46,12;1,63;12,83426966292135;28,2944785276074
2;C;F.o.;Grass;P;144,435185185185;0,2847350382283153;0,1227219733693318;20426,70250000000;0,1848;0,1824817518248175;0,0600000000000000;0,358000000000000;46,55;2,57;48,64;1,52;18,11284046692607;32,0000000000000
3;C;A.o.;Grass;P;250,351698113208;0,2443297068043518;0,1310698776154757;20046,73493975903;0,1837;0,1882086167800454;0,0500000000000001;0,559000000000000;47,03;2,21;47,24;1,04;21,28054298642534;45,4230769230769
4;C;D.g.;Grass;P;342,497643097643;0,1983305509181970;0,1315212626041210;26767,79583333333;0,1590;0,1880877742946708;0,0500000000000001;0,331000000000000;47,58;3,63;47,55;1,59;13,10743801652893;29,9056603773585
5;C;H.l.;Grass;P;356,397080291971;0,2266710787557909;0,1402846503086262;24326,52400000000;0,1678;0,1859364435429344;0,1176470588235294;0,341000000000000;45,96;2,31;48,24;1,10;19,89610389610390;43,8545454545455
6;C;G.v.;Forbs;P;250,238095238095;0,1910828025477707;0,1260888396939218;22268,40152671756;0,1719;0,1933579335793358;0,0875000000000000;0,677000000000000;46,82;4,39;46,33;1,84;10,66514806378132;25,1793478260870
