"","Numero","Bloc","Type","Sp","mod","gf","Weight","AtomPer13C","APE13C","C amount","C concentration"
"87","8","A","NF","P.l.","P","Forb",29.85,1.07507,0.21729166666673,37.6,0.13
"88","9","A","NF","C.n.","P","Forb",32.162,1.07506,0.207291666666665,45.56,0.14
"89","10","B","F","R.a.","P","Forb",29.563,1.0928,16.3716279069768,216.44,0.73
"90","11","B","F","M.a.","P","Legumes",22.824,1.11049,34.0616279069768,188.93,0.83
"91","12","B","F","T.p.","P","Legumes",28.005,1.08897,12.5416279069768,169.59,0.61
"92","12","B","F","T.p.","P","Legumes",27.286,1.08917,12.7416279069767,174.1,0.64
"93","13","B","F","L.c.","P","Legumes",30.16,1.10654,30.1116279069769,205.9,0.68
"94","14","B","F","M.s.","P","Legumes",28.163,1.11653,40.1016279069768,180.17,0.64
"95","15","B","F","T.r.","P","Legumes",27.345,1.08178,5.35162790697674,163.45,0.6
"96","17","B","F","F.o.","P+L","Grass",28.829,1.088,11.5716279069769,149.04,0.52
"97","18","B","F","A.o.","P+L","Grass",32.843,1.08357,7.1416279069767,251.02,0.76
"98","19","B","F","D.g.","P+L","Grass",31.951,1.0828,6.37162790697676,196.2,0.61
"99","2","B","F","F.o.","P","Grass",27.895,1.09298,16.5516279069768,129.49,0.46
"100","20","B","F","H.l.","P+L","Grass",27.663,1.08941,12.9816279069768,231.57,0.84
"101","21","B","F","G.v.","P+L","Forb",28.312,1.0858,9.37162790697688,208.29,0.74
"102","24","B","F","C.n.","P+L","Forb",30.119,1.08187,5.44162790697689,237.1,0.79
"103","25","B","F","R.a.","P+L","Forb",27.977,1.09862,22.1916279069767,210.58,0.75
"104","26","B","F","M.a.","P+L","Legumes",28.285,1.11231,35.8816279069767,181.51,0.64
"105","27","B","F","T.p.","P+L","Legumes",27.662,1.09252,16.0916279069767,225.23,0.81
"106","28","B","F","L.c.","P+L","Legumes",29.791,1.11653,40.1016279069768,215.6,0.72
"107","29","B","F","M.s.","P+L","Legumes",28.017,1.08663,10.2016279069768,170.56,0.61
"108","3","B","F","A.o.","P","Grass",27.627,1.11376,37.3316279069769,195.6,0.71
"109","30","B","F","T.r.","P+L","Legumes",27.885,1.08556,9.13162790697686,153.86,0.55
"110","32","B","F","F.o.","L","Grass",27.92,1.07648,0.051627906976881,193.7,0.69
"111","33","B","F","A.o.","L","Grass",29.351,1.0769,0.471627906976746,171.44,0.58
"112","34","B","F","D.g.","L","Grass",29.194,1.07679,0.361627906976691,120.14,0.41
"113","35","B","F","H.l.","L","Grass",32.601,1.07661,0.181627906976844,203.05,0.62
"114","36","B","F","G.v.","L","Forb",28.116,1.07645,0.0216279069766845,162.22,0.58
"115","38","B","F","P.l.","L","Forb",29.973,1.07578,-0.648372093023264,159.16,0.53
"116","39","B","F","C.n.","L","Forb",28.718,1.07657,0.141627906976804,187.78,0.65
"117","4","B","F","D.g.","P","Grass",29.528,1.08532,8.89162790697684,218.11,0.74
"118","40","B","F","R.a.","L","Forb",27.589,1.07674,0.311627906976808,163.93,0.59
"119","41","B","F","M.a.","L","Legumes",28.3,1.07584,-0.588372093023315,174.09,0.62
"120","42","B","F","T.p.","L","Legumes",27.721,1.07662,0.191627906976688,166.99,0.6
"121","43","B","F","L.c.","L","Legumes",28.11,1.07633,-0.0983720930232135,194.71,0.69
"122","44","B","F","M.s.","L","Legumes",33.548,1.07671,0.281627906976833,220.05,0.66
"123","45","B","F","T.r.","L","Legumes",32.134,1.07669,0.261627906976702,181.1,0.56
"124","46","B","F",NA,"T","Temoins",29.051,1.07614,-0.288372093023126,157.73,0.54
"125","47","B","F",NA,"T","Temoins",25.742,1.07619,-0.238372093023242,155.6,0.6
"126","5","B","F","H.l.","P","Grass",28.242,1.08618,9.7516279069767,188.82,0.67
"127","6","B","F","G.v.","P","Forb",28.765,1.08425,7.82162790697671,204.18,0.71
"128","7","B","F","C.r.","P","Forb",30.502,1.08129,4.86162790697686,181.68,0.6
"129","8","B","F","P.l.","P","Forb",31.984,1.08584,9.41162790697669,203.19,0.64
"130","9","B","F","C.n.","P","Forb",30.418,1.08177,5.34162790697668,199.85,0.66
"131","1","B","NF","N.s.","P","Grass",27.728,1.07555,0.697291666666766,53.92,0.19
"132","10","B","NF","R.a.","P","Forb",33.463,1.07598,1.1272916666667,68.52,0.2
"133","11","B","NF","M.a.","P","Legumes",31.075,1.07904,4.18729166666676,61.65,0.2
"134","12","B","NF","T.p.","P","Legumes",28.769,1.07501,0.157291666666781,55.57,0.19
"135","13","B","NF","L.c.","P","Legumes",28.604,1.0779,3.04729166666684,77.75,0.27
"136","14","B","NF","M.s.","P","Legumes",33.022,1.08004,5.18729166666665,75.17,0.23
"137","15","B","NF","T.r.","P","Legumes",33.023,1.07597,1.11729166666685,78.42,0.24
"138","17","B","NF","F.o.","P+L","Grass",28.184,1.07561,0.757291666666715,57.66,0.2
"139","18","B","NF","A.o.","P+L","Grass",29.125,1.07585,0.997291666666733,56.82,0.2
"140","19","B","NF","D.g.","P+L","Grass",31.161,1.07561,0.757291666666715,54.75,0.18
"141","2","B","NF","F.o.","P","Grass",27.736,1.07554,0.687291666666701,62.72,0.23
"142","20","B","NF","H.l.","P+L","Grass",31.865,NA,NA,NA,NA
"143","21","B","NF","G.v.","P+L","Forb",27.824,1.07496,0.107291666666676,43.75,0.16
"144","23","B","NF","P.l.","P+L","Forb",27.82,1.07593,1.07729166666681,59.35,0.21
"145","24","B","NF","C.n.","P+L","Forb",29.961,1.07565,0.797291666666755,59.38,0.2
"146","25","B","NF","R.a.","P+L","Forb",28.082,1.07604,1.18729166666687,60.94,0.22
"147","25","B","NF","R.a.","P+L","Forb",27.165,1.07571,0.857291666666704,63.24,0.23
"148","26","B","NF","M.a.","P+L","Legumes",30.103,1.07522,0.367291666666825,178.1,0.59
"149","27","B","NF","T.p.","P+L","Legumes",31.976,1.07539,0.537291666666828,48.45,0.15
"150","28","B","NF","L.c.","P+L","Legumes",31.573,1.08437,9.51729166666682,53.95,0.17
"151","29","B","NF","M.s.","P+L","Legumes",30.521,1.07564,0.78729166666669,48.84,0.16
"152","3","B","NF","A.o.","P","Grass",26.341,1.07639,1.53729166666672,67.38,0.26
"153","30","B","NF","T.r.","P+L","Legumes",29.566,1.07683,1.97729166666671,42.39,0.14
"154","32","B","NF","F.o.","L","Grass",26.964,1.07466,-0.192708333333291,49.8,0.18
"155","33","B","NF","A.o.","L","Grass",28.548,1.0746,-0.25270833333324,38.09,0.13
"156","34","B","NF","D.g.","L","Grass",28.731,1.07457,-0.282708333333215,44.46,0.15
"157","35","B","NF","H.l.","L","Grass",32.418,1.07483,-0.0227083333332878,51.12,0.16
"158","36","B","NF","G.v.","L","Forb",34.442,1.07462,-0.232708333333331,57.45,0.17
"159","38","B","NF","P.l.","L","Forb",30.311,1.07442,-0.432708333333309,50.14,0.17
"160","39","B","NF","C.n.","L","Forb",31.527,1.07414,-0.712708333333145,47.91,0.15
"161","4","B","NF","D.g.","P","Grass",30.882,1.07523,0.377291666666668,78.07,0.25
"162","40","B","NF","R.a.","L","Forb",27.805,1.07422,-0.632708333333287,47.04,0.17
"163","41","B","NF","M.a.","L","Legumes",31.263,1.074,-0.852708333333174,42.06,0.13
