Numero,Bloc,Sp,mod,gf,µmolNetRhizoPerGsoil,µmolGrossRhizoPerGSoil,µmolNetRhizoPerGFineRoot,µmolGrossRhizoPerGFineRoot,PropShoot,PropRoot,PropSoil,PropResp,PropRhizo
12,A,T.p.,P,Legumes,0.11428797229090283,0.14540203758952633,173.33267441375307,220.52122839708278,0.7065465424448036,0.006650079193989396,0.2254313426584611,0.06137203570274595,0.28680337836120706
15,A,T.r.,P,Legumes,0.08631089356417526,0.10814559761815402,275.0834324669398,344.6733195604194,0.6707664875315801,0.07367984922854531,0.203957123670555,0.05159653956931976,0.2555536632398748
17,A,F.o.,P+L,Grass,0.03529106021348129,0.051544623227064656,34.85438391594947,50.90683237883537,0.6278942571575694,0.14711516630129473,0.15404431126018864,0.07094626528094723,0.22499057654113586
19,A,D.g.,P+L,Grass,0.027489635666342167,0.04877961710583468,29.298642756769805,51.98965139962646,0.8334338729183731,0.0754818842722437,0.05133030553196147,0.039753937277421644,0.09108424280938311
20,A,H.l.,P+L,Grass,0.030496312974700727,0.04036228587025121,27.410720011727424,36.27846152879453,0.8500745080653306,0.06779564809256756,0.062054399753857285,0.020075444088244535,0.08212984384210181
21,A,G.v.,P+L,Forb,0.027238608068226627,0.042468926935446724,204.20736716184106,318.38880070352997,0.664559217026376,0.1542993678041727,0.11618000191585728,0.06496141325359397,0.18114141516945126
23,A,P.l.,P+L,Forb,0.022072670612194673,0.031168267311775383,96.43775739390333,136.17735045349173,0.8465167328212493,0.03486971939889729,0.08399946471517192,0.03461408306468164,0.11861354777985356
24,A,C.n.,P+L,Forb,0.025344937645367372,0.03599437303392692,18.47616428905998,26.23947862732666,0.7226360600223907,0.18734476708996833,0.06338574981079174,0.02663342307684904,0.09001917288764079
25,A,R.a.,P+L,Forb,0.08437955020706894,0.12153761447107919,87.66629410895302,126.27173562048172,0.4473240385545577,0.31020490230513076,0.16833964528207546,0.07413141385823621,0.24247105914031167
26,A,M.a.,P+L,Legumes,0.07255669810687013,0.09520469071268538,125.96882590965232,165.28898672461781,0.633279430452323,0.09797635020247994,0.20481336628509006,0.06393085306010693,0.268744219345197
27,A,T.p.,P+L,Legumes,0.039261454208877763,0.057068097500347845,114.10631798894762,165.85810718459095,0.8749507633337631,0.06778719290943568,0.03939488448604235,0.01786715927075887,0.05726204375680122
28,A,L.c.,P+L,Legumes,0.1012254188017132,0.13238274518452453,74.78375894002528,97.80230520054634,0.5454392135012324,0.24595763580186156,0.15950674888346125,0.049096401813444705,0.20860315069690596
29,A,M.s.,P+L,Legumes,0.03023864033720149,0.04732271419317199,49.99867912520851,78.24667960905185,0.7608167622879031,0.1263741071311341,0.07208366604809661,0.04072546453286618,0.11280913058096279
30,A,T.r.,P+L,Legumes,0.03389784281774246,0.053339772713930735,79.30345721077967,124.787539012302,0.4890057946696893,0.2937611296900626,0.13805331890633843,0.07917975673390966,0.21723307564024807
2,B,F.o.,P,Grass,0.08382859486056031,0.10688509634595114,89.92619924013852,114.65980654686544,0.576399172338255,0.2802451467057651,0.11243200137952448,0.03092367957645548,0.14335568095597997
3,B,A.o.,P,Grass,0.22737758510920497,0.28674287442686697,153.69756936855933,193.82597810596295,0.5784899872577149,0.19270657949047074,0.18143353072496832,0.04736990252684598,0.2288034332518143
4,B,D.g.,P,Grass,0.05972995081323929,0.07575433543633468,66.00654385522944,83.71481637138503,0.8160292941532562,0.07834980330864927,0.08327881535905346,0.02234208717904089,0.10562090253809435
5,B,H.l.,P,Grass,0.06685336258491226,0.09978441854755486,83.85069749154442,125.15440914992921,0.5941634901246793,0.23890320483610056,0.11184163751945028,0.05509166751976982,0.1669333050392201
6,B,G.v.,P,Forb,0.05919497941644774,0.07296616694832503,139.4748843480834,171.9224805340982,0.7253431936856635,0.13157913566437002,0.116074067246484,0.027003603403482526,0.14307767064996652
7,B,C.r.,P,Forb,0.029816597979538003,0.051849209453016014,211.51652779770905,367.8140866400758,0.7886472621582398,0.056122143541203755,0.08926747916144408,0.0659631151391124,0.15523059430055647
8,B,P.l.,P,Forb,0.05561255916681494,0.07563490879865038,103.6427162102165,140.95750142859478,0.7922627874742034,0.041237666973394836,0.12242317701381239,0.04407636853858918,0.16649954555240157
9,B,C.n.,P,Forb,0.03643767829843176,0.0472908931191483,16.810623717347205,21.817784409098913,0.5372721647943826,0.2917158185611435,0.13176492209520832,0.0392470945492656,0.1710120166444739
10,B,R.a.,P,Forb,0.12543137451216557,0.15314683796563452,120.6288626623743,147.28315747143176,0.3644817012561664,0.35100331229584875,0.23302541726319498,0.05148956918478984,0.28451498644798484
11,B,M.a.,P,Legumes,0.22934515435558947,0.28141278125053387,236.78701241406378,290.54414476153244,0.4298175737493675,0.2621892536362998,0.25100758181561034,0.05698559079872235,0.3079931726143327
12,B,T.p.,P,Legumes,0.06681261680785594,0.09085642326445308,89.40889551205017,121.58440789127916,0.6593729943960253,0.14056602182499525,0.14711780815454167,0.05294317562443787,0.20006098377897955
12,B,T.p.,P,Legumes,0.06681261680785594,0.09085642326445308,89.40889551205017,121.58440789127916,0.6578475385272757,0.14024082309110394,0.1490909465086448,0.0528206918729756,0.2019116383816204
12,B,T.p.,P,Legumes,0.06786571199986043,0.09190951845645755,90.81815146526259,122.99366384449155,0.6593729943960253,0.14056602182499525,0.14711780815454167,0.05294317562443787,0.20006098377897955
12,B,T.p.,P,Legumes,0.06786571199986043,0.09190951845645755,90.81815146526259,122.99366384449155,0.6578475385272757,0.14024082309110394,0.1490909465086448,0.0528206918729756,0.2019116383816204
13,B,L.c.,P,Legumes,0.20722068039253688,0.2482127453172106,240.2647154842622,287.79349879673055,0.5506321510849093,0.20580161709425038,0.20334153354638904,0.040224698274451264,0.2435662318208403
14,B,M.s.,P,Legumes,0.2256499743419762,0.3175457807537261,265.3637492902858,373.4329649176677,0.500703569508922,0.21680199051176524,0.20074227716639204,0.08175216281292064,0.2824944399793127
15,B,T.r.,P,Legumes,0.03051986841493774,0.04360768586210107,211.94746130724283,302.83676804557814,0.6742831437412801,0.18308479034157474,0.09982441850520751,0.0428076474119377,0.14263206591714522
17,B,F.o.,P+L,Grass,0.059407184287999314,0.08247954195367331,95.36001577426536,132.3956103293269,0.594432932364489,0.3076572564925154,0.0705210777897161,0.027388733353279508,0.0979098111429956
18,B,A.o.,P+L,Grass,0.050115655411117316,0.06636485730621257,32.47841328347228,43.0090207422827,0.7093511737300469,0.18715285526393297,0.07815534651787984,0.025340624488140284,0.10349597100602012
19,B,D.g.,P+L,Grass,0.038240486869599126,0.053256204437063054,55.9391726164927,77.90455239398275,0.7801667735276132,0.12613703423699194,0.06727832084134625,0.0264178713940487,0.09369619223539494
20,B,H.l.,P+L,Grass,0.10028242609940913,0.15138677685437937,271.14660637210517,409.3240699321093,0.6046965192449137,0.17857349142269505,0.14356742108102097,0.07316256825137016,0.21672998933239113
21,B,G.v.,P+L,Forb,0.06675868686736025,0.08201205314050118,62.11989569452479,76.31336723120309,0.5608923979397379,0.23750306227555867,0.1641082478384962,0.037496291946207246,0.20160453978470344
24,B,C.n.,P+L,Forb,0.0374554028859725,0.055730348040093636,15.699250250445742,23.35910477560337,0.48566582543629394,0.39725195246997497,0.07868893616366228,0.0383932859300688,0.11708222209373108
25,B,R.a.,P+L,Forb,0.15053685419184182,0.18529990289160353,88.20102113406546,108.56903273835204,0.2529491181829036,0.5469729311418292,0.16254247745301967,0.037535473222247435,0.2000779506752671
26,B,M.a.,P+L,Legumes,0.1906810484150268,NA,172.3272027187453,NA,NA,NA,NA,NA,NA
27,B,T.p.,P+L,Legumes,0.1270292010452455,0.15765547895017634,147.2856608206961,182.7956974310921,0.47926339544539504,0.2905105348344961,0.18550217151396817,0.0447238982061406,0.23022606972010878
28,B,L.c.,P+L,Legumes,0.2598569798566259,0.3416841654931908,150.1196178365477,197.39125873370156,0.3542929201714957,0.37206420397315393,0.2081103500257756,0.06553252582957476,0.27364287585535035
29,B,M.s.,P+L,Legumes,0.06309259621116857,0.0958629522514717,105.37812586863801,160.11162727690393,0.6553854093471821,0.15658194396266556,0.12375445960623407,0.0642781870839182,0.1880326466901523
