"Numero","Bloc","Sp","mod","Type","gf","Weight","X","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","APE15N","APE13C"
"29","A","M.s.","P+L","PA","Legumes",2.251,NA,91.237,0.39959,65.09,2.89,-3.61,1.10171,974.3,43.28,314.91,275.584615384614
"30","A","T.r.","P+L","PA","Legumes",2.08,NA,76.016,0.394038,56.11,2.7,-17.22,1.08683,871.85,41.92,249.733333333333,126.784615384614
"1","B","N.s.","P","PA","Grass",2.033,NA,14.243,0.371501,66.7,3.28,28.46,1.13676,765.26,37.64,4.80000000000036,598.000000000001
"2","B","F.o.","P","PA","Grass",1.851,NA,8.027,0.369232,37.62,2.03,22.42,1.13017,766.71,41.42,-0.379999999999825,579.799999999999
"3","B","A.o.","P","PA","Grass",2.118,NA,10.048,0.36997,41.4,1.95,41.22,1.15071,852.16,40.23,7.15999999999994,733.699999999999
"4","B","D.g.","P","PA","Grass",2.239,NA,7.035,0.36887,47.81,2.14,50.21,1.16053,890.53,39.77,-3.54999999999994,903.700000000001
"5","B","H.l.","P","PA","Grass",2.115,NA,12.527,0.370874,30.34,1.43,14.03,1.121,827.48,39.12,14.8566666666666,456.799999999999
"6","B","G.v.","P","PA","Forb",2.022,NA,8.713,0.369483,65.79,3.25,42.91,1.15256,818.03,40.46,-12.8433333333333,809.599999999999
"7","B","C.r.","P","PA","Forb",1.911,NA,5.047,0.368145,66.28,3.47,48.06,1.15818,776.3,40.62,-8.09999999999977,853.299999999999
"8","B","P.l.","P","PA","Forb",1.828,NA,10.242,0.370041,26.96,1.47,10.7,1.11735,737.1,40.32,1.49666666666659,441.6
"9","B","C.n.","P","PA","Forb",2.235,NA,7.131,0.368905,43.02,1.92,-2.71,1.10269,865.21,38.71,-7.2933333333336,253.2
"10","B","R.a.","P","PA","Forb",2.19,NA,15.683,0.372026,37.94,1.73,1.26,1.10704,799.07,36.49,10.4266666666669,302.800000000001
"11","B","M.a.","P","PA","Legumes",2.199,NA,4.029,0.367773,70.48,3.21,27.71,1.13595,837.25,38.07,-11.8633333333334,638.3
"12","B","T.p.","P","PA","Legumes",2.03,NA,5.399,0.368273,56.67,2.79,16.37,1.12355,796.32,39.23,-0.306666666666788,508.8
"13","B","L.c.","P","PA","Legumes",2.254,NA,3.885,0.367721,61.98,2.75,31.12,1.13968,899.71,39.92,-3.41666666666685,642.400000000001
"14","B","M.s.","P","PA","Legumes",2.227,NA,4.531,0.367956,65.91,2.96,39.22,1.14852,873.91,39.24,-1.43000000000004,743.684615384614
"15","B","T.r.","P","PA","Legumes",1.896,NA,8.108,0.369262,64.3,3.39,30.6,1.13911,723.35,38.15,1.97333333333327,649.584615384615
"17","B","F.o.","P+L","PA","Grass",1.933,NA,130.405,0.413873,57.93,3,53.96,1.16462,804.07,41.6,446.03,924.3
"18","B","A.o.","P+L","PA","Grass",2.236,NA,285.586,0.470422,35.37,1.58,9.18,1.11569,899.86,40.24,1011.68,383.500000000001
"19","B","D.g.","P+L","PA","Grass",2.131,NA,125.108,0.411941,47.32,2.22,40,1.14938,846.76,39.74,427.16,792.200000000001
"20","B","H.l.","P+L","PA","Grass",2.036,NA,157.775,0.423851,32.24,1.58,12.62,1.11946,789.91,38.8,544.626666666667,441.399999999998
"21","B","G.v.","P+L","PA","Forb",1.98,NA,136.539,0.416109,55.3,2.79,13.67,1.12061,785.23,39.66,453.416666666667,490.1
"23","B","P.l.","P+L","PA","Forb",1.769,NA,120.945,0.410423,37.73,2.13,23.67,1.13153,792.27,44.79,405.316666666666,583.399999999998
"24","B","C.n.","P+L","PA","Forb",2.021,NA,80.871,0.395809,37.03,1.83,-2.83,1.10256,807.64,39.96,261.746666666667,251.9
"25","B","R.a.","P+L","PA","Forb",2.229,NA,170.447,0.42847,42.65,1.91,1.92,1.10775,817.25,36.66,574.866666666667,309.900000000001
"26","B","M.a.","P+L","PA","Legumes",1.868,NA,58.211,0.387543,53.92,2.89,1.37,1.10716,721.75,38.64,185.836666666667,350.4
"27","B","T.p.","P+L","PA","Legumes",1.782,NA,62.494,0.389105,43.63,2.45,9.75,1.11632,714.69,40.11,208.013333333333,436.5
"28","B","L.c.","P+L","PA","Legumes",1.897,NA,90.204,0.399213,52.07,2.74,22.57,1.13033,777.43,40.98,311.503333333333,548.900000000001
"29","B","M.s.","P+L","PA","Legumes",2.176,NA,136.155,0.415969,52.94,2.43,19.62,1.12711,862.06,39.62,478.7,529.584615384615
"30","B","T.r.","P+L","PA","Legumes",2.247,NA,98.427,0.402212,64.52,2.87,-0.51,1.1051,818.67,36.43,331.473333333334,309.484615384614
"1","C","N.s.","P","PA","Grass",1.979,NA,2.852,0.367344,56.48,2.85,40.34,1.14975,812.62,41.06,-36.7699999999999,727.900000000001
"2","C","F.o.","P","PA","Grass",2.346,NA,4.092,0.367796,48.72,2.08,-7.37,1.0976,929.01,39.6,-14.7399999999998,254.099999999999
"3","C","A.o.","P","PA","Grass",2.023,NA,2.843,0.36734,27.99,1.38,5.26,1.11141,806.16,39.85,-19.1400000000003,340.7
"4","C","D.g.","P","PA","Grass",2.143,NA,4.015,0.367768,40.15,1.87,19.46,1.12693,869.77,40.59,-14.5699999999999,567.7
"5","C","H.l.","P","PA","Grass",1.832,NA,3.002,0.367398,29.77,1.63,-7.3,1.09767,731.47,39.93,-19.9033333333332,223.499999999999
"6","C","G.v.","P","PA","Forb",2.225,NA,5.46,0.368295,61.51,2.76,57.07,1.16803,900.41,40.47,-24.7233333333335,964.299999999998
"7","C","C.r.","P","PA","Forb",2.167,NA,7.601,0.369077,86.23,3.98,24.74,1.1327,823.46,38,1.22000000000011,598.5
"8","C","P.l.","P","PA","Forb",2.15,NA,3.657,0.367637,28.85,1.34,-3.03,1.10234,860.29,40.01,-22.5433333333336,291.5
"9","C","C.n.","P","PA","Forb",2.075,NA,4.78,0.368047,35.46,1.71,4.28,1.11033,770.6,37.14,-15.8733333333333,329.600000000001
"10","C","R.a.","P","PA","Forb",2.035,NA,6.745,0.368764,27.48,1.35,-5.73,1.09939,748.61,36.79,-22.1933333333335,226.300000000002
"11","C","M.a.","P","PA","Legumes",2.05,NA,0.262,0.366398,55.84,2.72,3.33,1.1093,774.18,37.76,-25.6133333333336,371.8
"12","C","T.p.","P","PA","Legumes",2.113,NA,1.334,0.36679,56.65,2.68,-1.98,1.10349,838.84,39.7,-15.1366666666669,308.200000000001
"13","C","L.c.","P","PA","Legumes",1.878,NA,0.594,0.36652,57.46,3.06,5.77,1.11196,754.64,40.18,-15.4266666666669,365.200000000001
"14","C","M.s.","P","PA","Legumes",2.202,NA,1.002,0.366668,52.93,2.4,17.11,1.12436,880.8,40,-14.3100000000002,502.084615384615
"15","C","T.r.","P","PA","Legumes",2.14,NA,1.753,0.366942,67.87,3.17,7.91,1.11431,796.6,37.22,-21.2266666666666,401.584615384614
"17","C","F.o.","P+L","PA","Grass",2.172,NA,120.119,0.410122,46.39,2.14,15.3,1.12239,902.1,41.53,408.52,502
"18","C","A.o.","P+L","PA","Grass",2.098,NA,325.28,0.484876,27.49,1.31,9.36,1.11589,860.25,41,1156.22,385.500000000001
"19","C","D.g.","P+L","PA","Grass",2.084,NA,106.627,0.405202,35.01,1.68,10.5,1.11714,813.39,39.03,359.77,469.8
"20","C","H.l.","P+L","PA","Grass",1.844,NA,215.651,0.444945,33.13,1.8,12.54,1.11937,736.64,39.95,755.566666666667,440.499999999999
"21","C","G.v.","P+L","PA","Forb",2.081,NA,112.1,0.407198,48.37,2.32,0.53,1.10624,804.33,38.65,364.306666666667,346.399999999998
"23","C","P.l.","P+L","PA","Forb",2.136,NA,103.457,0.404046,37.27,1.74,2.31,1.10818,826.77,38.71,341.546666666667,349.899999999999
"24","C","C.n.","P+L","PA","Forb",1.989,NA,108.594,0.40592,33.52,1.69,15.72,1.12285,794.71,39.96,362.856666666667,454.8
"25","C","R.a.","P+L","PA","Forb",2.055,NA,301.813,0.476331,34.98,1.7,-4.77,1.10044,748.33,36.42,1053.47666666667,236.800000000001
"26","C","M.a.","P+L","PA","Legumes",2.312,NA,55.191,0.386441,73.44,3.18,20.31,1.12786,896.48,38.78,174.816666666666,557.400000000001
"27","C","T.p.","P+L","PA","Legumes",2.311,NA,51.813,0.385209,66.63,2.88,17.8,1.12512,942.43,40.78,169.053333333333,524.499999999999
"28","C","L.c.","P+L","PA","Legumes",2.145,NA,54.711,0.386266,58.13,2.71,8.51,1.11496,872.14,40.66,182.033333333333,395.2
"29","C","M.s.","P+L","PA","Legumes",1.748,NA,52.689,0.385528,47.13,2.7,26.35,1.13446,708.98,40.56,174.29,603.084615384615
"30","C","T.r.","P+L","PA","Legumes",2.16,NA,102.582,0.403727,60.25,2.79,-16.31,1.08782,865.13,40.05,346.623333333334,136.684615384615
"1","A","N.s.","P","PS","Grass",1.772,NA,5.037,0.368141,20.24,1.14,-26.44,1.07674,688.05,38.83,-25.883333333333,-7.20000000000054
"2","A","F.o.","P","PS","Grass",2.103,NA,3.305,0.367509,25.89,1.23,-11.51,1.09308,911.93,43.36,-19.8133333333334,207.900000000001
"3","A","A.o.","P","PS","Grass",2.129,NA,4.294,0.36787,22.44,1.05,-23.24,1.08024,941.7,44.23,-20.6966666666669,21.2000000000012
"4","A","D.g.","P","PS","Grass",1.848,NA,3.933,0.367738,16.08,0.87,-20.73,1.08298,603.03,32.63,-13.1500000000001,90.0000000000012
"5","A","H.l.","P","PS","Grass",2.196,NA,2.241,0.367121,16.31,0.74,-27.1,1.07602,1006.2,45.82,-25.6933333333337,-4.20000000000087
"6","A","G.v.","P","PS","Forb",1.87,NA,4.115,0.367805,24.37,1.3,-9.08,1.09573,800.91,42.83,-36.1033333333333,214.100000000002
"7","A","C.r.","P","PS","Forb",1.953,NA,1.941,0.367011,55.23,2.83,18.93,1.12635,847.63,43.4,-60.6666666666666,529.899999999999
"8","A","P.l.","P","PS","Forb",2.078,NA,4.816,0.368061,20.82,1,-23.11,1.08038,888.53,42.76,-48.1199999999998,81.3999999999981
"9","A","C.n.","P","PS","Forb",2.177,NA,3.45,0.367562,29,1.33,-26.61,1.07656,931.31,42.78,-43.8266666666665,-10.0999999999996
"10","A","R.a.","P","PS","Forb",2.162,NA,3.946,0.367743,22.38,1.03,-24.87,1.07846,960.64,44.43,-17.99,11.9000000000002
"11","A","M.a.","P","PS","Legumes",2.035,NA,0.826,0.366604,62.87,3.09,-12.71,1.09176,842.78,41.41,-1.36999999999998,194.100000000002
"12","A","T.p.","P","PS","Legumes",2.202,NA,1.001,0.366668,52.04,2.36,-25.56,1.0777,965.82,43.86,-1.73000000000034,50.7000000000013
"13","A","L.c.","P","PS","Legumes",2.206,NA,2.715,0.367294,55.68,2.52,-12.08,1.09245,842.32,38.18,4.03333333333367,195.6
"14","A","M.s.","P","PS","Legumes",1.868,NA,0.71,0.366562,40.11,2.15,-24.96,1.07835,815.84,43.67,-2.3533333333331,36.6384615384607
"15","A","T.r.","P","PS","Legumes",2.085,NA,2.02,0.36704,47.41,2.27,-21.06,1.08263,915.66,43.92,-4.13666666666701,79.4384615384614
"17","A","F.o.","P+L","PS","Grass",1.967,NA,608.878,0.588025,27.53,1.4,-23.52,1.07993,893.27,45.41,2185.34666666667,76.4000000000009
"18","A","A.o.","P+L","PS","Grass",2.072,NA,219.102,0.446202,20.69,1,-10.99,1.09365,922.44,44.52,762.623333333333,155.3
"19","A","D.g.","P+L","PS","Grass",2.001,NA,123.431,0.41133,16.68,0.83,-22.44,1.08112,886.81,44.32,422.77,71.4000000000015
"20","A","H.l.","P+L","PS","Grass",1.967,NA,685.549,0.615875,14.93,0.76,-26.96,1.07617,869.67,44.21,2461.84666666667,-2.69999999999992
"21","A","G.v.","P+L","PS","Forb",2.182,NA,85.806,0.397609,32.05,1.47,-15.13,1.08912,938.09,42.99,261.936666666667,148.000000000001
"23","A","P.l.","P+L","PS","Forb",2.137,NA,134.642,0.415418,20.72,0.97,-25.7,1.07755,939.01,43.94,425.45,53.0999999999993
"24","A","C.n.","P+L","PS","Forb",2.229,NA,157.926,0.423906,27.03,1.21,-24.7,1.07864,958.79,43.01,519.613333333334,10.7000000000013
"25","A","R.a.","P+L","PS","Forb",2.043,NA,215.693,0.44496,14.59,0.71,-26.09,1.07712,927.25,45.39,754.18,-1.49999999999872
"26","A","M.a.","P+L","PS","Legumes",2.223,NA,86.312,0.397793,61.07,2.75,-22.22,1.08135,938.48,42.22,310.52,90.0000000000012
"27","A","T.p.","P+L","PS","Legumes",2.154,NA,176.908,0.430826,41.58,1.93,-15.19,1.08904,927.76,43.07,639.85,164.1
"28","A","L.c.","P+L","PS","Legumes",2.062,NA,60.446,0.388358,62.98,3.05,-16.6,1.08751,877.23,42.54,214.673333333333,146.200000000001
"29","A","M.s.","P+L","PS","Legumes",2.153,NA,65.19,0.390089,47.8,2.22,-26.25,1.07695,938.56,43.59,232.916666666667,22.6384615384623
"30","A","T.r.","P+L","PS","Legumes",2.03,NA,107.344,0.405464,56.14,2.77,-19.87,1.08393,868.72,42.79,380.103333333333,92.4384615384621
"1","B","N.s.","P","PS","Grass",2.109,NA,7.416,0.369009,42.99,2.04,-16.96,1.08711,882.02,41.82,-17.2033333333332,96.4999999999994
"2","B","F.o.","P","PS","Grass",1.88,NA,5.971,0.368482,19.28,1.03,3.82,1.10983,732.99,38.99,-10.0833333333333,375.400000000001
"3","B","A.o.","P","PS","Grass",1.785,NA,8.28,0.369325,18.73,1.05,6.37,1.11263,776.43,43.5,-6.14666666666652,345.1
"4","B","D.g.","P","PS","Grass",2.235,NA,3.178,0.367463,24.27,1.09,-12.39,1.0921,822.71,36.81,-15.9000000000004,181.200000000001
"5","B","H.l.","P","PS","Grass",2.114,NA,4.14,0.367814,14.9,0.71,-2.56,1.10286,816.62,38.63,-18.7633333333337,264.199999999999
"6","B","G.v.","P","PS","Forb",1.856,NA,2.419,0.367186,35.72,1.92,-2.19,1.10326,805.37,43.39,-42.2933333333331,289.4
"7","B","C.r.","P","PS","Forb",2.211,NA,0.56,0.366507,41.5,1.88,-1.93,1.10355,996.13,45.05,-65.7066666666661,301.899999999999
"8","B","P.l.","P","PS","Forb",1.976,NA,3.802,0.36769,13.16,0.67,-20.5,1.08324,880.39,44.55,-51.8299999999999,109.999999999999
"9","B","C.n.","P","PS","Forb",1.867,NA,3.232,0.367482,19.84,1.06,-19.47,1.08437,803.6,43.04,-44.6266666666667,68.0000000000014
"10","B","R.a.","P","PS","Forb",2.155,NA,6.142,0.368544,15.07,0.7,-12.89,1.09156,948.06,43.99,-9.97999999999999,142.900000000001
"11","B","M.a.","P","PS","Legumes",2.182,NA,1.511,0.366854,57.75,2.65,19.09,1.12653,885.31,40.57,1.1300000000003,541.800000000001
"12","B","T.p.","P","PS","Legumes",2.124,NA,1.321,0.366785,46.17,2.17,-7.54,1.09742,913.45,43.01,-0.560000000000005,247.900000000001
"13","B","L.c.","P","PS","Legumes",1.808,NA,1.689,0.366919,61.64,3.41,17.37,1.12465,797.48,44.11,0.283333333333524,517.6
"14","B","M.s.","P","PS","Legumes",2.034,NA,0.677,0.36655,41.47,2.04,7.15,1.11348,874.2,42.98,-2.47333333333322,387.938461538462
"15","B","T.r.","P","PS","Legumes",1.938,NA,3.7,0.367653,48.44,2.5,12.5,1.11933,686.17,35.41,1.99333333333329,446.438461538461
"17","B","F.o.","P+L","PS","Grass",2.122,NA,392.011,0.509166,24.09,1.14,52.72,1.16327,867.09,40.86,1396.75666666667,909.800000000001
"18","B","A.o.","P+L","PS","Grass",1.857,NA,384.499,0.506433,15,0.81,-10.08,1.09463,620.35,33.41,1364.93333333333,165.1
"19","B","D.g.","P+L","PS","Grass",2.241,NA,99.814,0.402718,23.79,1.06,-12.9,1.09156,900.11,40.17,336.65,175.800000000002
"20","B","H.l.","P+L","PS","Grass",2.09,NA,160.258,0.424757,20.38,0.97,-11.94,1.0926,929.65,44.48,550.666666666667,161.6
"21","B","G.v.","P+L","PS","Forb",2.255,NA,118.336,0.409472,35.19,1.56,-4.47,1.10077,990.54,43.93,380.566666666667,264.500000000001
"23","B","P.l.","P+L","PS","Forb",1.836,NA,155.184,0.422907,25.79,1.4,-9.7,1.09505,816.7,44.48,500.34,228.1
"24","B","C.n.","P+L","PS","Forb",2.215,NA,145.386,0.419335,28.23,1.27,-12.62,1.09186,978.09,44.16,473.903333333334,142.900000000001
"25","B","R.a.","P+L","PS","Forb",2.122,NA,117.538,0.409181,15.28,0.72,5.04,1.11117,929.78,43.82,396.39,339
"26","B","M.a.","P+L","PS","Legumes",1.837,NA,76.72,0.394295,47.77,2.6,11.3,1.11801,722.63,39.34,275.54,456.6
"27","B","T.p.","P+L","PS","Legumes",1.98,NA,75.538,0.393864,47.43,2.4,25.17,1.13317,867.08,43.79,270.23,605.4
"28","B","L.c.","P+L","PS","Legumes",2.03,NA,98.195,0.402127,56.92,2.8,35.14,1.14407,877.35,43.22,352.363333333334,711.8
"29","B","M.s.","P+L","PS","Legumes",2.089,NA,163.124,0.425801,44.26,2.12,-15.53,1.08867,931.46,44.59,590.036666666667,139.838461538462
"30","B","T.r.","P+L","PS","Legumes",2.199,NA,134.28,0.415286,63.79,2.9,-4.17,1.10109,967.04,43.98,478.323333333333,264.038461538461
"1","C","N.s.","P","PS","Grass",1.817,NA,23.935,0.375038,25.88,1.42,-6.35,1.09872,664.29,36.56,43.0866666666668,212.599999999998
"2","C","F.o.","P","PS","Grass",2.024,NA,16.925,0.37248,20.85,1.03,-3.32,1.10202,671.47,33.18,29.8966666666667,297.3
"3","C","A.o.","P","PS","Grass",1.976,NA,17.322,0.372624,16.13,0.82,-6.26,1.09881,852.97,43.17,26.8433333333334,206.900000000001
"4","C","D.g.","P","PS","Grass",2.254,NA,15.496,0.371958,24.47,1.09,-8.99,1.09583,923.8,40.98,29.0499999999999,218.500000000001
"5","C","H.l.","P","PS","Grass",2.246,NA,21.463,0.374136,18.96,0.84,-12.46,1.09203,982.6,43.75,44.4566666666668,155.9
"6","C","G.v.","P","PS","Forb",2.043,NA,35.493,0.379255,33.64,1.65,16.42,1.12361,893.89,43.75,78.3966666666669,492.900000000001
"7","C","C.r.","P","PS","Forb",2.221,NA,53.2,0.385715,43.81,1.97,-14.36,1.08995,966.68,43.52,126.373333333333,165.899999999999
"8","C","P.l.","P","PS","Forb",2.193,NA,45.396,0.382868,22.61,1.03,-12.08,1.09245,961.09,43.83,99.9499999999998,202.099999999998
"9","C","C.n.","P","PS","Forb",1.896,NA,39.702,0.38079,13.19,0.7,-12.63,1.09185,796.01,41.98,88.4533333333337,142.800000000001
"10","C","R.a.","P","PS","Forb",2.007,NA,16.541,0.372339,11.35,0.57,-14.64,1.08964,875.6,43.63,27.9699999999999,123.7
"11","C","M.a.","P","PS","Legumes",2.117,NA,1.267,0.366765,54.21,2.56,0.42,1.10612,904.51,42.73,0.24000000000024,337.700000000001
"12","C","T.p.","P","PS","Legumes",1.974,NA,2.102,0.36707,41.47,2.1,-5.61,1.09952,846.73,42.89,2.28999999999979,268.900000000001
"13","C","L.c.","P","PS","Legumes",2.246,NA,0.427,0.366459,57.94,2.58,-8.93,1.09589,944.37,42.05,-4.31666666666664,230.000000000001
"14","C","M.s.","P","PS","Legumes",2.145,NA,2.677,0.36728,41.77,1.95,-8.54,1.09632,935,43.59,4.82666666666687,216.338461538461
"15","C","T.r.","P","PS","Legumes",2.032,NA,3.741,0.367668,52.87,2.6,-14.83,1.08944,861.52,42.4,2.14333333333316,147.538461538461
"17","C","F.o.","P+L","PS","Grass",2.017,NA,105.32,0.404726,20.46,1.01,1.3,1.10708,893.75,44.31,352.356666666667,347.900000000001
"18","C","A.o.","P+L","PS","Grass",2.056,NA,541.208,0.563432,16.53,0.8,9.72,1.11629,883.3,42.96,1934.92333333333,381.7
"19","C","D.g.","P+L","PS","Grass",2.166,NA,110.049,0.40645,19.09,0.88,3.26,1.10923,937.68,43.29,373.97,352.5
"20","C","H.l.","P+L","PS","Grass",2.219,NA,400.221,0.512154,16.59,0.75,-22.97,1.08053,1018.97,45.92,1424.63666666667,40.8999999999993
"21","C","G.v.","P+L","PS","Forb",1.919,NA,134.175,0.415248,27.02,1.41,-15.78,1.0884,793.38,41.34,438.326666666667,140.800000000001
"23","C","P.l.","P+L","PS","Forb",2.132,NA,75.417,0.39382,20.12,0.94,-11.67,1.0929,937.97,43.99,209.47,206.599999999999
"24","C","C.n.","P+L","PS","Forb",1.813,NA,127.274,0.412731,15,0.83,-24.04,1.07937,786.16,43.36,407.863333333334,18.0000000000002
"25","C","R.a.","P+L","PS","Forb",2.174,NA,249.163,0.457155,12.42,0.57,-3.47,1.10186,971.24,44.68,876.13,245.900000000001
"26","C","M.a.","P+L","PS","Legumes",2.119,NA,46.129,0.383135,64.4,3.04,12.32,1.11913,902.76,42.6,163.94,467.8
"27","C","T.p.","P+L","PS","Legumes",1.889,NA,63.975,0.389646,41.99,2.22,-11.95,1.09259,839.12,44.42,228.05,199.6
"28","C","L.c.","P+L","PS","Legumes",1.773,NA,57.78,0.387386,42.11,2.38,8.93,1.11542,745.33,42.04,204.953333333334,425.300000000002
"29","C","M.s.","P+L","PS","Legumes",1.988,NA,40.484,0.381076,48.1,2.42,11.11,1.11781,855.42,43.03,142.786666666667,431.238461538461
"30","C","T.r.","P+L","PS","Legumes",2.01,NA,140.663,0.417613,37.95,1.89,-25.46,1.07781,887.04,44.13,501.593333333333,31.2384615384609
