Numero;Bloc;Sp;gf;mod;PS;L_resp;R_resp;sr_ratio;AGR;agGR;bgGR;RGR
11;C;M.a.;Leg;P;25,2551518320000;1,906229173400000;0,05400923798404012;0,924327027252271;21,37962962962963;10,26944444444444;11,110185185185186;21,30268518240741
12;C;T.p.;Leg;P;22,9950901740000;1,792546969200000;0,05833103758708308;1,732586528795059;17,61759259259259;11,17037037037037;6,447222222222224;17,57787037314815
13;C;L.c.;Leg;P;14,5233067060000;NA;0,03766898704284200;1,753300367463594;28,09768518518518;17,89259259259259;10,205092592592592;28,07675000000000
14;C;M.s.;Leg;P;17,8576937660000;1,685246674800000;0,03228813140350224;1,136371634699982;22,48333333333333;11,95925925925926;10,524074074074074;22,43328703425926
15;C;T.r.;Leg;P;21,3256420080000;1,689697691100000;0,07253380216421450;2,792635983263598;10,49120370370370;7,72500000000000;2,766203703703704;10,48680925925926
17;C;F.o.;Grass;P+L;23,7930707840000;2,177903466800000;0,06024934914554274;2,201842210652783;14,80555555555556;10,18148148148148;4,624074074074075;14,78740740740741
18;C;A.o.;Grass;P+L;14,6319182960000;0,767517496800000;0,03445235733999306;1,573312695495147;36,94490740740741;22,58796296296296;14,356944444444444;36,92163888888889
19;C;D.g.;Grass;P+L;17,8820269700000;2,317818211400000;0,03567013563913632;2,116088328075710;13,71944444444444;9,31666666666667;4,402777777777778;13,69675925925926
20;C;H.l.;Grass;P+L;13,4394322980000;0,819760832600000;0,05675847669915545;1,472475048647292;18,23564814814815;10,86018518518519;7,375462962962962;18,22120370648149
21;C;G.v.;Forbs;P+L;18,8691478560000;3,355038473300000;0,05185218700464680;1,534808667588751;15,27222222222222;9,24722222222222;6,024999999999999;15,26425000000000
23;C;P.l.;Forbs;P+L;13,2624628620000;2,017553740000000;0,03510417634710798;3,556489262371616;18,07407407407407;14,10740740740741;3,966666666666666;18,02870370370371
24;C;C.n.;Forbs;P+L;19,1923280730000;2,315345693600000;0,03088448204948684;0,923213272830403;25,11574074074074;12,05648148148148;13,059259259259260;25,04425000000000
25;C;R.a.;Forbs;P+L;17,6606826740000;1,664629403200000;0,03442951844824071;0,479012973798016;32,30000000000000;10,46111111111111;21,838888888888889;32,25877777777778
26;C;M.a.;Leg;P+L;38,0763415400000;2,601449692400000;0,03855266353702497;0,942962848774472;23,34074074074074;11,32777777777778;12,012962962962963;23,26379629351852
27;C;T.p.;Leg;P+L;17,9550971320000;1,893488306400000;0,06908498734001878;3,094850603941512;29,82037037037037;22,53796296296296;7,282407407407408;29,78064815092592
28;C;L.c.;Leg;P+L;14,0385092230000;1,505742851500000;0,05063167287162398;1,218831467566324;26,79444444444444;14,71851851851852;12,075925925925926;26,77350925925926
29;C;M.s.;Leg;P+L;15,0060558160000;2,733311361400000;0,05073467320384720;1,169917401263275;28,94629629629630;15,60648148148148;13,339814814814815;28,89624999722222
30;C;T.r.;Leg;P+L;24,9649882740000;1,705919128400000;0,05647166524775015;2,677974913888347;26,20046296296296;19,07685185185185;7,123611111111111;26,19606851851852
