"Numero","Bloc","Sp","mod","gf","Weight","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","APE15N","APE13C"
"32","A","F.o.","L","Grass",2.166,25.606,0.375647,11.47,0.53,-28.62,1.07436,129.24,5.97,79.4316666666667,-0.966666666666338
"33","A","A.o.","L","Grass",1.841,45.306,0.382835,11.13,0.6,-28.65,1.07433,126.57,6.88,151.311666666666,-1.26666666666608
"34","A","D.g.","L","Grass",1.846,38.506,0.380354,10,0.54,-28.64,1.07433,112.23,6.08,126.501666666667,-1.26666666666608
"35","A","H.l.","L","Grass",1.99,30.147,0.377304,10.1,0.51,-28.43,1.07457,115.63,5.81,96.0016666666663,1.1333333333341
"36","A","G.v.","L","Forb",2.083,57.653,0.387339,11.61,0.56,-28.26,1.07474,133.51,6.41,196.351666666666,2.83333333333413
"38","A","P.l.","L","Forb",1.916,58.435,0.387625,11.67,0.61,-28.8,1.07416,129.4,6.75,199.211666666667,-2.96666666666612
"39","A","C.n.","L","Forb",2.145,30.187,0.377319,11.03,0.51,-28.54,1.07444,126.21,5.88,96.1516666666667,-0.166666666665538
"40","A","R.a.","L","Forb",1.85,34.311,0.378823,10.53,0.57,-28.82,1.07414,118.05,6.38,111.191666666667,-3.16666666666521
"41","A","M.a.","L","Legumes",1.936,41.702,0.38152,9.95,0.51,-28.58,1.0744,110.41,5.7,138.161666666667,-0.566666666665938
"42","A","T.p.","L","Legumes",2.177,28.215,0.376599,12.39,0.57,-28.79,1.07417,144.74,6.65,88.9516666666668,-2.86666666666546
"43","A","L.c.","L","Legumes",2.168,38.997,0.380533,12.05,0.56,-28.67,1.0743,139.23,6.42,128.291666666667,-1.56666666666583
"44","A","M.s.","L","Legumes",2.007,4.529,0.367956,11.47,0.57,-28.62,1.07436,132.4,6.6,2.52166666666664,-0.966666666666338
"45","A","T.r.","L","Legumes",1.881,4.863,0.368078,11.64,0.62,-28.76,1.0742,132.79,7.06,3.74166666666675,-2.56666666666572
"46","A",NA,"T","Temoins",1.942,4.463,0.367932,12.55,0.65,-28.33,1.07467,150.33,7.74,2.2816666666664,2.13333333333399
"47","A",NA,"T","Temoins",1.969,4.241,0.367851,10.53,0.53,-28.1,1.07492,131.66,6.69,1.47166666666643,4.63333333333482
"1","B","N.s.","P","Grass",1.999,4.312,0.367877,11.12,0.56,-28.17,1.07485,130.06,6.51,1.73166666666669,3.93333333333468
"2","B","F.o.","P","Grass",2.199,3.942,0.367742,12.65,0.58,-28.23,1.07478,147.96,6.73,0.381666666666725,3.23333333333453
"3","B","A.o.","P","Grass",1.932,57.771,0.387383,11.39,0.59,-28.46,1.07453,136.42,7.06,196.791666666666,0.733333333333697
"4","B","D.g.","P","Grass",1.949,53.568,0.385849,11.56,0.59,-28.47,1.07452,140.33,7.2,181.451666666667,0.633333333333042
"5","B","H.l.","P","Grass",1.887,4.327,0.367882,12.4,0.66,-28.41,1.07459,153.21,8.12,1.78166666666646,1.33333333333319
"6","B","G.v.","P","Forb",2.124,4.298,0.367871,9.99,0.47,-28.3,1.07471,119.48,5.63,1.67166666666663,2.53333333333439
"7","B","C.r.","P","Forb",1.982,4.41,0.367912,9.74,0.49,-28.27,1.07474,118.28,5.97,2.08166666666676,2.83333333333413
"8","B","P.l.","P","Forb",1.963,4.345,0.367889,9.99,0.51,-28.51,1.07448,123.24,6.28,1.85166666666681,0.233333333334862
"9","B","C.n.","P","Forb",1.876,4.14,0.367814,11.62,0.62,-28.13,1.07489,142.2,7.58,1.10166666666633,4.33333333333286
"10","B","R.a.","P","Forb",2.05,4.481,0.367938,11.73,0.57,-27.82,1.07523,140.78,6.87,2.34166666666646,7.73333333333293
"11","B","M.a.","P","Legumes",1.922,4.414,0.367914,10.37,0.54,-28.54,1.07445,122.08,6.35,2.10166666666678,-0.0666666666671034
"12","B","T.p.","P","Legumes",1.818,4.113,0.367804,13.33,0.73,-28.07,1.07496,154.65,8.51,1.00166666666679,5.033333333333
"13","B","L.c.","P","Legumes",2.004,4.467,0.367933,10.02,0.5,-27.73,1.07533,122.51,6.11,2.29166666666669,8.73333333333282
"14","B","M.s.","P","Legumes",1.913,4.451,0.367927,10.31,0.54,-28.05,1.07498,124.58,6.51,2.23166666666663,5.23333333333431
"15","B","T.r.","P","Legumes",1.914,29.384,0.377026,12.17,0.64,-28.34,1.07466,146.94,7.68,93.2216666666663,2.03333333333333
"17","B","F.o.","P+L","Grass",2.24,21.527,0.374159,11.04,0.49,-28.1,1.07493,137.03,6.12,64.5516666666668,4.73333333333326
"18","B","A.o.","P+L","Grass",2.033,17.096,0.372542,10.34,0.51,-28.38,1.07462,122.79,6.04,48.3816666666664,1.63333333333293
"19","B","D.g.","P+L","Grass",2.086,42.097,0.381664,12.46,0.6,-28.52,1.07446,149.48,7.17,139.601666666667,0.0333333333335517
"20","B","H.l.","P+L","Grass",1.938,33.296,0.378453,11.04,0.57,-28.51,1.07447,131.33,6.78,107.491666666666,0.133333333334207
