Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya Ad,Lcya Juv,Dorn Ad,Dorn Juv,Bhor Ad,Bhor Juv,Isp Ad,Isp Juv,Sele Ad,Sele Juv,Eniv Ad,Eniv Juv,Svir Ad,Svir Juv,Afus Ad,Afus Juv
14,C,P,Legumes,M.s.,2,42,3,1,NA,0.5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,C,P,Legumes,T.r.,4,6,1,2,NA,0.667,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,C,P+L,Grass,F.o.,2,51,0,1,NA,0.5,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,C,P+L,Grass,A.o.,18,20,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,C,P+L,Grass,D.g.,16,33,5,11,NA,0.688,NA,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4
20,C,P+L,Grass,H.l.,11,165,6,7,105,0.636,0.636,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
21,C,P+L,Forb,G.v.,28,170,9,41,169,0.932,0.772,2,37,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,C,P+L,Forb,P.l.,20,129,22,26,79,0.867,0.612,3,18,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,5
24,C,P+L,Forb,C.n.,6,46,1,6,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,C,P+L,Forb,R.a.,10,48,3,7,NA,0.7,NA,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
