Numero,Bloc,mod,gf,Sp,N_tot_ep,N_tot_hem,N_tot_gam,NbJuv_Ep,NbJuv_Hem,PerJuv_Ep,PerJuv_Hem,Lcya Ad,Lcya Juv,Dorn Ad,Dorn Juv,Bhor Ad,Bhor Juv,Isp Ad,Isp Juv,Sele Ad,Sele Juv,Eniv Ad,Eniv Juv,Svir Ad,Svir Juv,Afus Ad,Afus Juv
36,A,L,Forb,G.v.,6,344,25,5,385,0.833,0.819,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,5,NA,NA,NA,NA
38,A,L,Forb,P.l.,0,42,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,A,L,Forb,C.n.,0,74,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,A,L,Forb,R.a.,1,5,11,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,A,L,Legumes,M.a.,0,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,A,L,Legumes,T.p.,0,23,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,A,L,Legumes,L.c.,8,85,10,4,NA,0.5,NA,NA,4,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
44,A,L,Legumes,M.s.,3,143,16,2,91,0.667,0.636,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
45,A,L,Legumes,T.r.,3,63,6,2,NA,0.667,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
46,A,T,Temoins, ,16,260,7,5,394,0.313,0.952,NA,NA,NA,NA,NA,NA,NA,NA,7,2,4,3,NA,NA,NA,NA
47,A,T,Temoins, ,1,6,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,B,P,Grass,N.s.,3,0,0,0,NA,0,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,B,P,Grass,F.o.,12,8,3,10,NA,0.833,NA,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,B,P,Grass,A.o.,18,69,1,20,NA,0.8,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,5,15,NA,NA,NA,NA
4,B,P,Grass,D.g.,22,12,60,15,NA,0.682,NA,1,2,NA,NA,NA,NA,2,1,NA,NA,4,12,NA,NA,NA,NA
5,B,P,Grass,H.l.,25,40,5,16,NA,0.64,NA,8,14,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,B,P,Forb,G.v.,0,6,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,B,P,Forb,C.r.,0,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,B,P,Forb,P.l.,22,5,6,13,NA,0.591,NA,5,10,1,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA
9,B,P,Forb,C.n.,7,22,8,2,NA,0.286,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,B,P,Forb,R.a.,4,2,6,0,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,B,P,Legumes,M.a.,10,15,11,8,NA,0.8,NA,2,6,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
12,B,P,Legumes,T.p.,1,0,12,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,B,P,Legumes,L.c.,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,B,P,Legumes,M.s.,7,2,10,6,NA,0.857,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
15,B,P,Legumes,T.r.,1,2,5,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,B,P+L,Grass,F.o.,6,41,2,4,NA,0.667,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,B,P+L,Grass,A.o.,21,4,7,11,NA,0.524,NA,3,9,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA
19,B,P+L,Grass,D.g.,17,9,7,13,NA,0.765,NA,3,8,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA
20,B,P+L,Grass,H.l.,13,53,4,3,NA,0.231,NA,5,3,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA
21,B,P+L,Forb,G.v.,0,86,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
