Numero;Bloc;Sp;gf;mod;PS;L_resp;R_resp;sr_ratio;AGR;agGR;bgGR;RGR;SLA;LDMC;RDMC_aver;SRL;RMD;RTD;PerColAMF;CF;Leaf_C;Leaf_N;Root_C;Root_N;Leaf_C:N;Root_C:N;BG_Delta15N;BG_NperMS;BG_APE15N;BG_Delta13C;BG_CperMS;BG_APE13C;AG_Delta15N;AG_NperMS;AG_APE15N;AG_Delta13C;AG_CperMS;AG_APE13C
27;A;T.p.;Leg;P+L;13,2762170820000;1,018406642200000;0,03489583658293340;3,696073558648111;20,10319148936170;15,82234042553191;4,280851063829787;20,05755319468085;322,539403973510;0,1973856209150327;0,1563954570843418;10003,26309523810;0,2742;0,1693548387096774;0,2428571428571429;0,536666666666667;48,26;4,85;45,80;2,39;9,95051546391753;19,1631799163180;176,908;1,93;639,850000000000023;-15,19;43,07;164,09999999999999;82,712;2,06;281,763333333332980;11,78;43,52;458,600000000000
28;A;L.c.;Leg;P+L;23,0355201540000;3,365787660000000;0,02419226785399333;1,504795834475199;19,44680851063830;11,68297872340426;7,763829787234042;19,42275531914894;190,852777777778;0,1967213114754098;0,1921371563700857;2641,90646153846;0,4071;0,2906976744186046;0,4027777777777776;0,571111111111111;43,65;3,07;45,71;2,50;14,21824104234528;18,2840000000000;60,446;3,05;214,673333333333005;-16,60;42,54;146,20000000000101;61,532;2,42;206,913333333332986;-10,77;43,93;184,400000000000
29;A;M.s.;Leg;P+L;28,5701301400000;1,078352522400000;0,05569158803939689;0,922564529558701;17,19468085106383;8,25106382978723;8,943617021276594;17,13718084787234;260,455855855856;0,2059369202226345;0,2020076837278473;5216,03865030675;0,3210;0,2369186046511628;NA;NA;43,87;3,51;45,89;2,68;12,49857549857550;17,1231343283582;65,190;2,22;232,916666666666998;-26,25;43,59;22,63846153846230;91,237;2,89;314,910000000000025;-3,61;43,28;275,584615384614
30;A;T.r.;Leg;P+L;14,5969408100000;0,869127598571429;0,02772510696917965;1,651340161255175;12,94361702127660;8,06170212765957;4,881914893617021;12,93856808510638;296,960386473430;0,1754237288135593;0,1594949327130753;8881,89687500000;0,2917;0,1684210526315790;0,3229166666666666;0,631000000000000;47,89;4,62;44,72;2,94;10,36580086580087;15,2108843537415;107,344;2,77;380,103333333333012;-19,87;42,79;92,43846153846209;76,016;2,70;249,733333333333007;-17,22;41,92;126,784615384614
1;B;N.s.;Grass;P;20,1873836580000;3,372416997800000;0,00571526327873440;2,391217564870259;5,04653465346535;3,55841584158416;1,488118811881188;5,02970297326733;190,745454545455;0,2689486552567237;0,1311316172899466;11842,84814814815;0,2616;0,1569767441860465;0,3333333333333334;0,567000000000000;45,59;5,02;44,39;1,58;9,08167330677291;28,0949367088608;7,416;2,04;-17,203333333333202;-16,96;41,82;96,49999999999940;14,243;3,28;4,800000000000360;28,46;37,64;598,000000000001
2;B;F.o.;Grass;P;22,0501085740000;0,585758430700000;0,01957129181303195;1,199223336042626;24,11089108910891;13,14752475247525;10,963366336633662;24,09148514851485;115,900970873786;0,2640348628556780;0,1067022919305307;18149,16813008130;0,1960;0,1825467497773820;0,0300000000000000;0,440000000000000;47,20;2,84;45,00;1,26;16,61971830985916;35,7142857142857;5,971;1,03;-10,083333333333300;3,82;38,99;375,40000000000100;8,027;2,03;-0,379999999999825;22,42;41,42;579,799999999999
3;B;A.o.;Grass;P;13,4090384270000;0,804661411000000;0,03098890704002302;1,724208929345470;24,89009900990099;15,75346534653465;9,136633663366336;24,86521782178218;258,273654390935;0,2274191470171369;0,1053046514247100;24358,13582887701;0,1791;0,1628919860627178;0,0200000000000000;0,361000000000000;47,69;3,51;46,95;1,16;13,58689458689459;40,4741379310345;8,280;1,05;-6,146666666666520;6,37;43,50;345,10000000000002;10,048;1,95;7,159999999999940;41,22;40,23;733,699999999999
4;B;D.g.;Grass;P;17,3153039480000;1,446925367200000;0,00999453075879182;1,720645520311631;19,36237623762376;12,24554455445545;7,116831683168316;19,33811881188119;264,550898203593;0,2420991591765729;0,1580621985014882;26264,01168831169;0,1610;0,1871202916160389;0,2500000000000000;0,406000000000000;47,70;4,16;46,05;1,14;11,46634615384615;40,3947368421053;3,178;1,09;-15,900000000000400;-12,39;36,81;181,20000000000101;7,035;2,14;-3,549999999999940;50,21;39,77;903,700000000001
5;B;H.l.;Grass;P;12,1335393860000;0,915100365900000;0,05710917070917874;1,417842031029619;20,36732673267327;11,94356435643564;8,423762376237624;20,35188119108911;353,627751196172;0,2108768035516093;0,1613264620210621;47252,60138888889;0,1401;0,1374045801526717;0,0200000000000000;0,355000000000000;46,77;3,10;46,76;1,12;15,08709677419355;41,7500000000000;4,140;0,71;-18,763333333333701;-2,56;38,63;264,19999999999902;12,527;1,43;14,856666666666600;14,03;39,12;456,799999999999
6;B;G.v.;Forbs;P;14,6474771320000;3,686001156000000;0,03563874887382239;2,143714136671883;11,93366336633663;8,13762376237624;3,796039603960397;11,92513861386139;277,577777777778;0,2159568086382724;0,1273764258555133;28573,44029850746;0,1647;0,1642156862745098;0,0000000000000000;0,598000000000000;47,45;5,23;45,48;2,02;9,07265774378585;22,5148514851485;2,419;1,92;-42,293333333333102;-2,19;43,39;289,39999999999998;8,713;3,25;-12,843333333333300;42,91;40,46;809,599999999999
