"Numero","Bloc","Type","Sp","mod","gf","AtomPer15N","AtomPer13C","baseline.13C","baseline.15N","APE15Nppm","APE13Cppm"
"24","B","F","C.n.","P+L","Forb",0.406377,1.08187,1.07642837209302,0.36976428,366.1272,54.4162790697689
"25","B","F","R.a.","P+L","Forb",0.447244,1.09862,1.07642837209302,0.36976428,774.7972,221.916279069767
"26","B","F","M.a.","P+L","Legumes",0.425735,1.11231,1.07642837209302,0.36976428,559.7072,358.816279069767
"27","B","F","T.p.","P+L","Legumes",0.40353,1.09252,1.07642837209302,0.36976428,337.6572,160.916279069767
"28","B","F","L.c.","P+L","Legumes",0.439889,1.11653,1.07642837209302,0.36976428,701.2472,401.016279069768
"29","B","F","M.s.","P+L","Legumes",0.442589,1.08663,1.07642837209302,0.36976428,728.2472,102.016279069768
"3","B","F","A.o.","P","Grass",0.369406,1.11376,1.07642837209302,0.36976428,NA,373.316279069769
"30","B","F","T.r.","P+L","Legumes",0.430733,1.08556,1.07642837209302,0.36976428,609.6872,91.3162790697686
"32","B","F","F.o.","L","Grass",0.424236,1.07648,1.07642837209302,0.36976428,544.7172,0.51627906976881
"33","B","F","A.o.","L","Grass",0.500554,1.0769,1.07642837209302,0.36976428,1307.8972,4.71627906976746
"34","B","F","D.g.","L","Grass",0.430334,1.07679,1.07642837209302,0.36976428,605.6972,3.61627906976691
"35","B","F","H.l.","L","Grass",0.426837,1.07661,1.07642837209302,0.36976428,570.7272,1.81627906976844
"36","B","F","G.v.","L","Forb",0.429044,1.07645,1.07642837209302,0.36976428,592.7972,0.216279069766845
"38","B","F","P.l.","L","Forb",0.40805,1.07578,1.07642837209302,0.36976428,382.8572,NA
"39","B","F","C.n.","L","Forb",0.411462,1.07657,1.07642837209302,0.36976428,416.9772,1.41627906976804
"4","B","F","D.g.","P","Grass",0.369442,1.08532,1.07642837209302,0.36976428,NA,88.9162790697684
"40","B","F","R.a.","L","Forb",0.432759,1.07674,1.07642837209302,0.36976428,629.9472,3.11627906976808
"41","B","F","M.a.","L","Legumes",0.416196,1.07584,1.07642837209302,0.36976428,464.3172,NA
"42","B","F","T.p.","L","Legumes",0.431859,1.07662,1.07642837209302,0.36976428,620.9472,1.91627906976688
"43","B","F","L.c.","L","Legumes",0.451924,1.07633,1.07642837209302,0.36976428,821.5972,NA
"44","B","F","M.s.","L","Legumes",0.421194,1.07671,1.07642837209302,0.36976428,514.2972,2.81627906976834
"45","B","F","T.r.","L","Legumes",0.47433,1.07669,1.07642837209302,0.36976428,1045.6572,2.61627906976702
"46","B","F",NA,"T","Temoins",0.369182,1.07614,1.07642837209302,0.36976428,NA,NA
"47","B","F",NA,"T","Temoins",0.37019,1.07619,1.07642837209302,0.36976428,4.25720000000018,NA
"5","B","F","H.l.","P","Grass",0.36965,1.08618,1.07642837209302,0.36976428,NA,97.516279069767
"6","B","F","G.v.","P","Forb",0.369405,1.08425,1.07642837209302,0.36976428,NA,78.2162790697671
"7","B","F","C.r.","P","Forb",0.369696,1.08129,1.07642837209302,0.36976428,NA,48.6162790697686
"8","B","F","P.l.","P","Forb",0.369693,1.08584,1.07642837209302,0.36976428,NA,94.1162790697669
"9","B","F","C.n.","P","Forb",0.369881,1.08177,1.07642837209302,0.36976428,1.16720000000015,53.4162790697668
"1","B","NF","N.s.","P","Grass",0.368723,1.07555,1.07584111111111,0.3684775,2.4550000000001,NA
"10","B","NF","R.a.","P","Forb",0.36807,1.07598,1.07584111111111,0.3684775,NA,1.38888888888911
"11","B","NF","M.a.","P","Legumes",0.368475,1.07904,1.07584111111111,0.3684775,NA,31.9888888888897
"12","B","NF","T.p.","P","Legumes",0.368885,1.07501,1.07584111111111,0.3684775,4.07500000000005,NA
"13","B","NF","L.c.","P","Legumes",0.368324,1.0779,1.07584111111111,0.3684775,NA,20.5888888888905
"14","B","NF","M.s.","P","Legumes",0.368744,1.08004,1.07584111111111,0.3684775,2.66500000000003,41.9888888888886
"15","B","NF","T.r.","P","Legumes",0.36815,1.07597,1.07584111111111,0.3684775,NA,1.28888888889067
"17","B","NF","F.o.","P+L","Grass",0.389021,1.07561,1.07584111111111,0.3684775,205.435,NA
"18","B","NF","A.o.","P+L","Grass",0.398115,1.07585,1.07584111111111,0.3684775,296.375,0.0888888888894712
"19","B","NF","D.g.","P+L","Grass",0.39666,1.07561,1.07584111111111,0.3684775,281.825,NA
"2","B","NF","F.o.","P","Grass",0.369492,1.07554,1.07584111111111,0.3684775,10.1449999999997,NA
"20","B","NF","H.l.","P+L","Grass",NA,NA,1.07584111111111,0.3684775,NA,NA
"21","B","NF","G.v.","P+L","Forb",0.393528,1.07496,1.07584111111111,0.3684775,250.505,NA
"23","B","NF","P.l.","P+L","Forb",0.39577,1.07593,1.07584111111111,0.3684775,272.925,0.888888888890271
"24","B","NF","C.n.","P+L","Forb",0.387859,1.07565,1.07584111111111,0.3684775,193.815,NA
"25","B","NF","R.a.","P+L","Forb",0.40584,1.07604,1.07584111111111,0.3684775,373.625,1.98888888889082
"25","B","NF","R.a.","P+L","Forb",0.406438,1.07571,1.07584111111111,0.3684775,379.605,NA
"26","B","NF","M.a.","P+L","Legumes",0.407723,1.07522,1.07584111111111,0.3684775,392.455,NA
"27","B","NF","T.p.","P+L","Legumes",0.391287,1.07539,1.07584111111111,0.3684775,228.095,NA
"28","B","NF","L.c.","P+L","Legumes",0.404037,1.08437,1.07584111111111,0.3684775,355.595,85.2888888888903
"29","B","NF","M.s.","P+L","Legumes",0.399106,1.07564,1.07584111111111,0.3684775,306.285,NA
"3","B","NF","A.o.","P","Grass",0.367934,1.07639,1.07584111111111,0.3684775,NA,5.48888888888932
"30","B","NF","T.r.","P+L","Legumes",0.398923,1.07683,1.07584111111111,0.3684775,304.455,9.88888888888928
"32","B","NF","F.o.","L","Grass",0.41659,1.07466,1.07584111111111,0.3684775,481.125,NA
"33","B","NF","A.o.","L","Grass",0.470186,1.0746,1.07584111111111,0.3684775,1017.085,NA
"34","B","NF","D.g.","L","Grass",0.411925,1.07457,1.07584111111111,0.3684775,434.475,NA
"35","B","NF","H.l.","L","Grass",0.413989,1.07483,1.07584111111111,0.3684775,455.115,NA
"36","B","NF","G.v.","L","Forb",0.419051,1.07462,1.07584111111111,0.3684775,505.735,NA
"38","B","NF","P.l.","L","Forb",0.405759,1.07442,1.07584111111111,0.3684775,372.815,NA
"39","B","NF","C.n.","L","Forb",0.411448,1.07414,1.07584111111111,0.3684775,429.705,NA
"4","B","NF","D.g.","P","Grass",0.368216,1.07523,1.07584111111111,0.3684775,NA,NA
"40","B","NF","R.a.","L","Forb",0.43448,1.07422,1.07584111111111,0.3684775,660.025,NA
"41","B","NF","M.a.","L","Legumes",0.422555,1.074,1.07584111111111,0.3684775,540.775,NA
"42","B","NF","T.p.","L","Legumes",0.439775,1.07448,1.07584111111111,0.3684775,712.975,NA
"43","B","NF","L.c.","L","Legumes",0.437659,1.07416,1.07584111111111,0.3684775,691.815,NA
"44","B","NF","M.s.","L","Legumes",0.419608,1.07438,1.07584111111111,0.3684775,511.305,NA
"45","B","NF","T.r.","L","Legumes",0.452482,1.07509,1.07584111111111,0.3684775,840.045,NA
"46","B","NF",NA,"T","Temoins",0.367946,1.07331,1.07584111111111,0.3684775,NA,NA
"47","B","NF",NA,"T","Temoins",0.368544,1.07373,1.07584111111111,0.3684775,0.664999999999694,NA
"5","B","NF","H.l.","P","Grass",0.368696,1.07549,1.07584111111111,0.3684775,2.1850000000001,NA
"6","B","NF","G.v.","P","Forb",0.369445,1.07505,1.07584111111111,0.3684775,9.6750000000001,NA
"6","B","NF","G.v.","P","Forb",0.367979,1.07486,1.07584111111111,0.3684775,NA,NA
