Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;DON
1;C;N.s.;Grass;P;500,367346938776;120,9629629629629;19,31249888888889;30,7008110185185;7,96;6,46;0,132066315;260,6734693877551;761,040816326531;30,7008110185185;151,6666666666667;11,388312129629632
2;C;F.o.;Grass;P;417,755102040816;94,1296296296296;8,05120868333333;18,4558475981481;6,29;6,28;0,073308113;226,0000000000000;643,755102040816;18,4558475981481;112,5925925925926;10,404638914814813
3;C;A.o.;Grass;P;607,714285714286;118,8888888888889;6,75194931851852;17,4827259111111;9,11;6,20;0,046877820;223,0204081632653;830,734693877551;17,4827259111111;136,3703703703704;10,730776592592592
4;C;D.g.;Grass;P;438,387755102041;98,7777777777778;8,23195767222222;18,4008465611111;7,34;6,59;0,094657829;205,7142857142857;644,102040816327;18,4008465611111;117,1851851851852;10,168888888888887
5;C;H.l.;Grass;P;360,857142857143;84,1666666666667;6,81357087777778;16,2802136037037;9,14;6,24;0,048449916;201,5918367346939;562,428571428571;16,2802136037037;100,4629629629630;9,466642725925922
6;C;G.v.;Forbs;P;368,224489795918;100,2777777777778;10,16680802962963;23,2565733703704;0,00;6,45;0,090037252;250,2448979591837;618,469387755102;23,2565733703704;123,5185185185185;13,089765340740744
7;C;C.r.;Forbs;P;325,040816326531;84,1296296296296;8,98338842222222;16,9755063981481;5,51;6,15;0,067178398;202,2653061224490;527,306122448980;16,9755063981481;101,1111111111111;7,992117975925924
8;C;P.l.;Forbs;P;306,428571428571;96,9814814814815;6,59907941481481;16,7333799444444;9,92;6,37;0,069233770;192,5714285714286;499,000000000000;16,7333799444444;113,7222222222222;10,134300529629630
9;C;C.n.;Forbs;P;697,714285714286;150,6666666666667;7,52045844814815;17,6341784296296;9,17;6,46;0,030807947;226,5102040816327;924,244897959184;17,6341784296296;168,2962962962963;10,113719981481481
10;C;R.a.;Forbs;P;259,142857142857;73,1296296296296;6,69835379629630;15,5691466611111;7,58;6,28;0,047967455;200,6326530612245;459,775510204082;15,5691466611111;88,7037037037037;8,870792864814813
