Numero;Bloc;Sp;mod;gf;nlabel.recovered;Type;Label13CPerG_Soil;prop.label.recovered
8;A;P.l.;P;Forb;148,4330609409151;Soil.NF;2,75516491810810e-05;1,85616661183375e-07
8;B;P.l.;P;Forb;430,5984673705166;Shoot;4,08825187231988e+02;9,49434840603385e-01
8;B;P.l.;P;Forb;430,5984673705166;Root;2,17672567007133e+01;5,05511708707112e-02
8;B;P.l.;P;Forb;430,5984673705166;Soil.F;6,02343781501692e-03;1,39885259039576e-05
8;B;P.l.;P;Forb;430,5984673705166;Soil.NF;1,33313093756655e-04;3,09599554709848e-07
8;C;P.l.;P;Forb;419,2341217593191;Shoot;3,62394788151688e+02;8,64421022389341e-01
8;C;P.l.;P;Forb;419,2341217593191;Root;5,68352405988165e+01;1,35569214548441e-01
8;C;P.l.;P;Forb;419,2341217593191;Soil.F;4,09300881438836e-03;9,76306221738827e-06
8;C;P.l.;P;Forb;419,2341217593191;Soil.NF;1,24368180415437e-04;2,96655672714627e-07
9;A;C.n.;P;Forb;124,5394111164359;Shoot;1,24537616854835e+02;9,99985592820904e-01
9;A;C.n.;P;Forb;124,5394111164359;Root;0,00000000000000e+00;0,00000000000000e+00
9;A;C.n.;P;Forb;124,5394111164359;Soil.F;1,79426160041629e-03;1,44071790956100e-05
9;A;C.n.;P;Forb;124,5394111164359;Soil.NF;3,07392521256743e-05;2,46823490251894e-07
9;B;C.n.;P;Forb;190,2354400142505;Shoot;1,37669451224945e+02;7,23679306098969e-01
9;B;C.n.;P;Forb;190,2354400142505;Root;5,25624176829818e+01;2,76301921866106e-01
9;B;C.n.;P;Forb;190,2354400142505;Soil.F;3,57110632376712e-03;1,87720349241950e-05
9;B;C.n.;P;Forb;190,2354400142505;Soil.NF;4,18429245280254e-05;2,19953361607548e-07
9;C;C.n.;P;Forb;333,0875662336660;Shoot;2,37314422658432e+02;7,12468571978913e-01
9;C;C.n.;P;Forb;333,0875662336660;Root;9,57693989590322e+01;2,87520185883638e-01
9;C;C.n.;P;Forb;333,0875662336660;Soil.F;3,74461620213067e-03;1,12421374489367e-05
9;C;C.n.;P;Forb;333,0875662336660;Soil.NF;1,18851933598588e-04;3,56818883822316e-07
10;A;R.a.;P;Forb;72,7658567488929;Shoot;7,02221279909124e+01;9,65042275709628e-01
10;A;R.a.;P;Forb;72,7658567488929;Root;2,54372875798049e+00;3,49577242903718e-02
10;A;R.a.;P;Forb;72,7658567488929;Soil.F;0,00000000000000e+00;0,00000000000000e+00
10;A;R.a.;P;Forb;72,7658567488929;Soil.NF;3,66214614219252e-05;5,03278090276624e-07
