"Numero","Bloc","Sp","mod","gf","Group","Delta15N","AtomPer15N","N_amount","NperMS","Delta13C","AtomPer13C","C_amount","CperMS","Delta13C_cor","Type","APE15N","APE13C"
"18","A","A.o.","P+L","Grass","epi",137.442,0.416438633,1.694896262,56.49654207,9.193312833,1.112482348,11.1459071,371.5302368,11.91464505,"epi",375.492106666667,342.704116666666
"18","A","A.o.","P+L","Grass","epi",137.442,0.416438633,1.694896262,56.49654207,9.193312833,1.112482348,11.1459071,371.5302368,11.91464505,"epi",375.492106666667,342.704116666666
"18","A","A.o.","P+L","Grass","epi",137.442,0.416438633,1.694896262,56.49654207,9.193312833,1.112482348,11.1459071,371.5302368,11.91464505,"epi",375.492106666667,342.704116666666
"19","A","D.g.","P+L","Grass","epi",6.312,0.36860647,0.279849657,9.328321898,-27.81449817,1.075383188,4.845075924,161.5025308,-28.17335386,"epi",-102.829523333333,-28.2874833333335
"19","A","D.g.","P+L","Grass","epi",6.312,0.36860647,0.279849657,9.328321898,-27.81449817,1.075383188,4.845075924,161.5025308,-28.17335386,"epi",-102.829523333333,-28.2874833333335
"19","A","D.g.","P+L","Grass","epi",6.312,0.36860647,0.279849657,9.328321898,-27.81449817,1.075383188,4.845075924,161.5025308,-28.17335386,"epi",-102.829523333333,-28.2874833333335
"20","A","H.l.","P+L","Grass","epi",101.622,0.403377166,1.518155384,0.151512513,-7.471712167,1.095779632,11.36620983,1.134352278,-6.068878936,"epi",244.877436666667,175.676956666666
"20","A","H.l.","P+L","Grass","epi",101.622,0.403377166,1.518155384,0.151512513,-7.471712167,1.095779632,11.36620983,1.134352278,-6.068878936,"epi",244.877436666667,175.676956666666
"20","A","H.l.","P+L","Grass","epi",101.622,0.403377166,1.518155384,0.151512513,-7.471712167,1.095779632,11.36620983,1.134352278,-6.068878936,"epi",244.877436666667,175.676956666666
"21","A","G.v.","P+L","Forb","epi",96.699,0.401581767,1.494792507,1.322825228,2.3842,1.105658517,11.24108375,9.947861722,4.559008722,"epi",226.923446666666,274.465806666666
"21","A","G.v.","P+L","Forb","epi",96.699,0.401581767,1.494792507,1.322825228,2.3842,1.105658517,11.24108375,9.947861722,4.559008722,"epi",226.923446666666,274.465806666666
"21","A","G.v.","P+L","Forb","epi",96.699,0.401581767,1.494792507,1.322825228,2.3842,1.105658517,11.24108375,9.947861722,4.559008722,"epi",226.923446666666,274.465806666666
"23","A","P.l.","P+L","Forb","epi",235.922,0.4523309,1.45182203,-7.259110151,-17.82312017,1.085401971,10.80576528,-54.02882641,-17.1693467,"epi",734.414776666667,71.9003466666668
"23","A","P.l.","P+L","Forb","epi",235.922,0.4523309,1.45182203,-7.259110151,-17.82312017,1.085401971,10.80576528,-54.02882641,-17.1693467,"epi",734.414776666667,71.9003466666668
"23","A","P.l.","P+L","Forb","epi",235.922,0.4523309,1.45182203,-7.259110151,-17.82312017,1.085401971,10.80576528,-54.02882641,-17.1693467,"epi",734.414776666667,71.9003466666668
"24","A","C.n.","P+L","Forb","epi",4.319,0.367879131,0.243175893,0.051960661,-26.99624817,1.076203759,5.205155125,1.112212634,-27.17717222,"epi",-110.102913333333,-20.0817733333336
"24","A","C.n.","P+L","Forb","epi",4.319,0.367879131,0.243175893,0.051960661,-26.99624817,1.076203759,5.205155125,1.112212634,-27.17717222,"epi",-110.102913333333,-20.0817733333336
"24","A","C.n.","P+L","Forb","epi",4.319,0.367879131,0.243175893,0.051960661,-26.99624817,1.076203759,5.205155125,1.112212634,-27.17717222,"epi",-110.102913333333,-20.0817733333336
"25","A","R.a.","P+L","Forb","epi",53.793,0.385931374,1.151873891,-0.138779987,-24.25783817,1.078949836,9.548655775,-1.150440455,-24.09853033,"epi",70.4195166666666,7.37899666666708
"25","A","R.a.","P+L","Forb","epi",53.793,0.385931374,1.151873891,-0.138779987,-24.25783817,1.078949836,9.548655775,-1.150440455,-24.09853033,"epi",70.4195166666666,7.37899666666708
"25","A","R.a.","P+L","Forb","epi",53.793,0.385931374,1.151873891,-0.138779987,-24.25783817,1.078949836,9.548655775,-1.150440455,-24.09853033,"epi",70.4195166666666,7.37899666666708
"26","A","M.a.","P+L","Legumes","epi",121.546,0.410642711,3.745495846,-0.418491156,2.435658833,1.10571009,21.43211329,-2.39464953,3.538237457,"epi",317.532886666667,274.981536666667
"26","A","M.a.","P+L","Legumes","epi",121.546,0.410642711,3.745495846,-0.418491156,2.435658833,1.10571009,21.43211329,-2.39464953,3.538237457,"epi",317.532886666667,274.981536666667
"26","A","M.a.","P+L","Legumes","epi",121.546,0.410642711,3.745495846,-0.418491156,2.435658833,1.10571009,21.43211329,-2.39464953,3.538237457,"epi",317.532886666667,274.981536666667
"27","A","T.p.","P+L","Legumes","epi",142.843,0.418407766,3.006964787,12.02785915,-10.04538117,1.093199639,21.46015085,85.84060338,-9.427588239,"epi",395.183436666667,149.877026666667
"27","A","T.p.","P+L","Legumes","epi",142.843,0.418407766,3.006964787,12.02785915,-10.04538117,1.093199639,21.46015085,85.84060338,-9.427588239,"epi",395.183436666667,149.877026666667
"27","A","T.p.","P+L","Legumes","epi",142.843,0.418407766,3.006964787,12.02785915,-10.04538117,1.093199639,21.46015085,85.84060338,-9.427588239,"epi",395.183436666667,149.877026666667
"28","A","L.c.","P+L","Legumes","epi",112.671,0.407406458,3.93006803,98.25170074,-4.771487167,1.098486347,19.84462149,496.1155373,-3.879749293,"epi",285.170356666667,202.744106666666
"28","A","L.c.","P+L","Legumes","epi",112.671,0.407406458,3.93006803,98.25170074,-4.771487167,1.098486347,19.84462149,496.1155373,-3.879749293,"epi",285.170356666667,202.744106666666
"28","A","L.c.","P+L","Legumes","epi",112.671,0.407406458,3.93006803,98.25170074,-4.771487167,1.098486347,19.84462149,496.1155373,-3.879749293,"epi",285.170356666667,202.744106666666
"29","A","M.s.","P+L","Legumes","epi",14.62866667,0.371641497,0.32551463,32.55146302,-27.61593617,1.075582315,4.175045777,417.5045777,-27.99896769,"epi",-72.4792533333335,-26.2962133333344
"29","A","M.s.","P+L","Legumes","epi",14.62866667,0.371641497,0.32551463,32.55146302,-27.61593617,1.075582315,4.175045777,417.5045777,-27.99896769,"epi",-72.4792533333335,-26.2962133333344
"29","A","M.s.","P+L","Legumes","epi",14.62866667,0.371641497,0.32551463,32.55146302,-27.61593617,1.075582315,4.175045777,417.5045777,-27.99896769,"epi",-72.4792533333335,-26.2962133333344
"30","A","T.r.","P+L","Legumes","epi",93.61866667,0.400458349,2.891449649,13.14295295,2.3842,1.105658517,15.0108135,68.23097044,3.982093041,"epi",215.689266666667,274.465806666666
"30","A","T.r.","P+L","Legumes","epi",93.61866667,0.400458349,2.891449649,13.14295295,2.3842,1.105658517,15.0108135,68.23097044,3.982093041,"epi",215.689266666667,274.465806666666
"30","A","T.r.","P+L","Legumes","epi",93.61866667,0.400458349,2.891449649,13.14295295,2.3842,1.105658517,15.0108135,68.23097044,3.982093041,"epi",215.689266666667,274.465806666666
"32","A","F.o.","L","Grass","epi",9.283666667,0.369690951,0.247241468,12.36207341,-25.80487617,1.077398485,3.753740371,187.6870185,-25.75202824,"epi",-91.9847133333335,-8.13451333333326
"32","A","F.o.","L","Grass","epi",9.283666667,0.369690951,0.247241468,12.36207341,-25.80487617,1.077398485,3.753740371,187.6870185,-25.75202824,"epi",-91.9847133333335,-8.13451333333326
"32","A","F.o.","L","Grass","epi",9.283666667,0.369690951,0.247241468,12.36207341,-25.80487617,1.077398485,3.753740371,187.6870185,-25.75202824,"epi",-91.9847133333335,-8.13451333333326
"34","A","D.g.","L","Grass","epi",364.7026667,0.499227603,0.637084045,21.23613484,-27.31372917,1.075885379,4.749590128,158.3196709,-27.57982851,"epi",1203.38180666667,-23.2655733333331
"34","A","D.g.","L","Grass","epi",364.7026667,0.499227603,0.637084045,21.23613484,-27.31372917,1.075885379,4.749590128,158.3196709,-27.57982851,"epi",1203.38180666667,-23.2655733333331
"34","A","D.g.","L","Grass","epi",364.7026667,0.499227603,0.637084045,21.23613484,-27.31372917,1.075885379,4.749590128,158.3196709,-27.57982851,"epi",1203.38180666667,-23.2655733333331
"35","A","H.l.","L","Grass","epi",87.10466667,0.398082565,0.255215071,12.76075354,-28.52364817,1.074672016,4.722785792,236.1392896,-29.03831265,"epi",191.931426666667,-35.3992033333328
