Numero;Bloc;Sp;gf;mod;Group;gBiomPerM2;MN.perM2
32;A;F.o.;Grass;L;AMF;42,49053436489026;379771,405993780
32;A;F.o.;Grass;L;SaproF;48,04473519266238;914529262,540487647
32;A;F.o.;Grass;L;Gneg;16,11794907766198;249390774,273510665
32;A;F.o.;Grass;L;Gpos;25,43432810056428;621013960,873232126
33;A;A.o.;Grass;L;AMF;41,06850603951818;236332,046981127
33;A;A.o.;Grass;L;SaproF;63,02381749205432;918875846,644278526
33;A;A.o.;Grass;L;Gneg;15,71040378216956;181249336,811544895
33;A;A.o.;Grass;L;Gpos;25,89231918676217;492315643,621509969
34;A;D.g.;Grass;L;AMF;34,29867432519756;316399,747661454
34;A;D.g.;Grass;L;SaproF;49,11409021684008;1101390847,329224825
34;A;D.g.;Grass;L;Gneg;17,19129307739860;358275235,314086139
34;A;D.g.;Grass;L;Gpos;21,57142759951282;564101788,745099783
35;A;H.l.;Grass;L;AMF;28,86934851110204;379358,969115045
35;A;H.l.;Grass;L;SaproF;41,83908335908938;1346022760,468398094
35;A;H.l.;Grass;L;Gneg;10,72023379287003;278884782,637608886
35;A;H.l.;Grass;L;Gpos;17,05970407116841;706251349,533679605
36;A;G.v.;Forbs;L;AMF;27,24626907459449;293461,875324007
36;A;G.v.;Forbs;L;SaproF;46,19161506761266;1340478186,534133196
36;A;G.v.;Forbs;L;Gneg;11,11576592233586;250409354,562955439
36;A;G.v.;Forbs;L;Gpos;18,88870525616489;723063007,024348378
38;A;P.l.;Forbs;L;AMF;43,37039416082219;374962,617891528
38;A;P.l.;Forbs;L;SaproF;57,11638984426956;1143624491,564150572
38;A;P.l.;Forbs;L;Gneg;16,01886087539874;246253779,173597008
38;A;P.l.;Forbs;L;Gpos;27,70218223126021;736457363,421930313
39;A;C.n.;Forbs;L;AMF;36,84879290024498;369987,571679144
39;A;C.n.;Forbs;L;SaproF;44,74641738419397;994414311,324373364
39;A;C.n.;Forbs;L;Gneg;13,52319421346604;243029163,834184140
39;A;C.n.;Forbs;L;Gpos;21,52014048268250;615446103,421187162
40;A;R.a.;Forbs;L;AMF;50,20561687134833;213780,452202789
40;A;R.a.;Forbs;L;SaproF;75,46992072229676;804108202,829400778
40;A;R.a.;Forbs;L;Gneg;18,76683695688761;156078497,862309039
40;A;R.a.;Forbs;L;Gpos;31,61258631775185;442874801,978541434
41;A;M.a.;Leg;L;AMF;35,28332377870697;379817,770805489
41;A;M.a.;Leg;L;SaproF;38,98846504432453;883059482,373253942
41;A;M.a.;Leg;L;Gneg;13,79072001419869;253296205,103879780
41;A;M.a.;Leg;L;Gpos;21,84662669486978;635658086,240122437
42;A;T.p.;Leg;L;AMF;35,32227018253135;395211,367425926
42;A;T.p.;Leg;L;SaproF;42,36883678802700;1042203589,849672675
42;A;T.p.;Leg;L;Gneg;12,60142071354406;239737555,423816442
42;A;T.p.;Leg;L;Gpos;21,54195438184905;700595355,367936969
43;A;L.c.;Leg;L;AMF;48,88891418034343;286776,197146318
43;A;L.c.;Leg;L;SaproF;60,65317744874255;796825152,350138187
43;A;L.c.;Leg;L;Gneg;18,23133629513827;192079577,345720977
43;A;L.c.;Leg;L;Gpos;29,40727999266536;499751262,934919119
44;A;M.s.;Leg;L;AMF;48,26227645713624;270498,153791069
44;A;M.s.;Leg;L;SaproF;57,26824004640604;701523038,709215522
44;A;M.s.;Leg;L;Gneg;18,32810885731119;182882827,777855009
44;A;M.s.;Leg;L;Gpos;28,82269750428339;452279459,680737734
45;A;T.r.;Leg;L;AMF;44,84804491383009;324624,598592087
45;A;T.r.;Leg;L;SaproF;55,23139101530688;891724221,596015811
45;A;T.r.;Leg;L;Gneg;16,86224227600208;222282143,727840185
45;A;T.r.;Leg;L;Gpos;26,41556968474829;545498912,508740306
46;A;NA;NA;T;AMF;22,32487184323055;659549,912507681
46;A;NA;NA;T;SaproF;23,99360200109632;1469975293,915021658
46;A;NA;NA;T;Gneg;8,31500603083490;389594233,664663315
46;A;NA;NA;T;Gpos;14,46933931227797;1179735873,100571156
47;A;NA;NA;T;AMF;27,90985491268633;366742,958366213
47;A;NA;NA;T;SaproF;33,95765907297501;988669350,279460192
47;A;NA;NA;T;Gneg;13,75741924223649;370553197,704854548
47;A;NA;NA;T;Gpos;17,40510638988787;593102815,537398815
1;B;N.s.;Grass;P;AMF;60,72109679075738;213161298,351814717
1;B;N.s.;Grass;P;SaproF;83,65556373549336;404593407,592429519
1;B;N.s.;Grass;P;Gneg;29,83476823454588;244016001,598221779
1;B;N.s.;Grass;P;Gpos;33,94062466389117;315800368,034151554
2;B;F.o.;Grass;P;AMF;33,67822798467959;261332625,836841613
2;B;F.o.;Grass;P;SaproF;58,61484030952735;791608300,384580374
2;B;F.o.;Grass;P;Gneg;13,61671013979663;238153598,887792319
2;B;F.o.;Grass;P;Gpos;21,06108418942135;569736721,009636998
3;B;A.o.;Grass;P;AMF;23,92032037477314;111448305,543477058
3;B;A.o.;Grass;P;SaproF;91,04431317038906;1614526336,620390892
3;B;A.o.;Grass;P;Gneg;22,35050758822147;432433127,999356806
3;B;A.o.;Grass;P;Gpos;31,83205577326419;877149358,631609678
4;B;D.g.;Grass;P;AMF;52,76143884692603;276070579,569954157
4;B;D.g.;Grass;P;SaproF;84,14017016240659;702091374,820950150
4;B;D.g.;Grass;P;Gneg;18,91970065834057;212803148,466750741
4;B;D.g.;Grass;P;Gpos;28,91530935671148;497055877,541427493
5;B;H.l.;Grass;P;AMF;62,50193250158811;279386678,795334697
5;B;H.l.;Grass;P;SaproF;90,90367600136977;590992127,136019230
5;B;H.l.;Grass;P;Gneg;22,96647558235623;208165017,620415688
5;B;H.l.;Grass;P;Gpos;35,26274542311453;490739802,245841622
6;B;G.v.;Forbs;P;AMF;68,16414355039606;174064560,386656851
6;B;G.v.;Forbs;P;SaproF;103,52110115527272;401472829,391308784
6;B;G.v.;Forbs;P;Gneg;24,37262973985295;127994941,579110220
6;B;G.v.;Forbs;P;Gpos;38,15087559187724;313615157,232746542
7;B;C.r.;Forbs;P;AMF;51,65293327204358;262120235,107764900
7;B;C.r.;Forbs;P;SaproF;63,95550113528918;401852230,047460616
7;B;C.r.;Forbs;P;Gneg;25,63490220361918;276526054,893013597
7;B;C.r.;Forbs;P;Gpos;30,90139231619944;401817477,878283978
8;B;P.l.;Forbs;P;AMF;53,40244067639656;268025189,895683169
8;B;P.l.;Forbs;P;SaproF;77,77828712760231;568551944,538279533
8;B;P.l.;Forbs;P;Gneg;19,71703971832889;203286968,860233814
8;B;P.l.;Forbs;P;Gpos;29,66821483932758;460266056,826912522
9;B;C.n.;Forbs;P;AMF;61,34949992667714;242988365,697918266
9;B;C.n.;Forbs;P;SaproF;86,89023692919419;487422293,462799907
9;B;C.n.;Forbs;P;Gneg;27,06451538678052;261060057,869380772
9;B;C.n.;Forbs;P;Gpos;29,18102840798192;303487708,543595910
10;B;R.a.;Forbs;P;AMF;50,36538308706675;141331691,234492093
10;B;R.a.;Forbs;P;SaproF;125,44450629227522;876755635,218949437
10;B;R.a.;Forbs;P;Gneg;19,78060930013498;160966681,524069458
