Numero,Bloc,Sp,mod,gf,µgCperGsoil,APE13Cppm,APE15Nppm,avail.rhizodep.µgCperGsoil,avail.litter.µgCperGsoil,avail.SOM.µgCperGsoil
18,B,A.o.,P+L,Grass,78.4,71.416279069767,296.375,0.05599036279069733,0.25303436072433394,78.09097527648498
18,C,A.o.,P+L,Grass,87.1,116.716279069768,420.89125,0.15403011980267867,0.5257789977917721,86.42019088240554
19,A,D.g.,P+L,Grass,15.988,31.3162790697685,243.746111111111,0.01088444934277084,0.8045175750532403,15.172597975603988
19,B,D.g.,P+L,Grass,62.22,63.7162790697676,281.825,0.0396442688372094,0.41074605555415633,61.769609675608635
19,C,D.g.,P+L,Grass,82.78,34.6162790697679,192.28125,0.04341720577871797,0.7703221656772509,81.96626062854402
20,A,H.l.,P+L,Grass,22.8,20.4162790697682,319.666111111111,0.010119373104145978,1.1634601740568469,21.626420452839007
20,B,H.l.,P+L,Grass,72.32,129.816279069768,295.4611538461538,0.09388313302325621,0.3642284667130143,71.86188840026372
20,C,H.l.,P+L,Grass,77.5,34.4162790697689,474.96125,0.04041305496828923,0.9890789156312227,76.47050802940049
21,A,G.v.,P+L,Forb,17.234,29.3162790697687,352.176111111111,0.010983407684530301,0.8189564083895221,16.40406018392595
21,B,G.v.,P+L,Forb,57.16,93.7162790697688,250.505,0.053568225116279844,0.12327441267362435,56.98315736221009
21,C,G.v.,P+L,Forb,69.14,75.816279069767,189.18125,0.07942329598308621,0.416937755746355,68.64363894827055
23,A,P.l.,P+L,Forb,16.488,21.4162790697681,296.376111111111,0.007676339332659487,0.5835494100220256,15.896774250645317
23,B,P.l.,P+L,Forb,64.44,155.39961240310123,272.925,0.10013951023255842,0.1324337469354215,64.20742674283203
23,C,P.l.,P+L,Forb,86.74,38.016279069768,217.51125,0.04996260676532841,0.2963663074094208,86.39367108582525
24,A,C.n.,P+L,Forb,13.62,22.1162790697682,162.216111111111,0.006548341759353106,0.45099783552945316,13.162453822711193
24,B,C.n.,P+L,Forb,66.08,54.4162790697689,193.815,0.03595827720930329,0.15580338263368362,65.88823834015702
24,C,C.n.,P+L,Forb,81.28,106.716279069767,439.48124999999993,0.1314227145877373,1.4593802074015085,79.68919707801075
25,A,R.a.,P+L,Forb,19.784,90.7162790697669,314.216111111111,0.039015888372092786,0.6357280348814668,19.10925607674644
25,B,R.a.,P+L,Forb,72.72,221.916279069767,376.615,0.16137751813953455,0.22366921788481026,72.33495326397566
25,C,R.a.,P+L,Forb,72.84,112.816279069767,304.57125,0.12450814799154283,0.38815792236456265,72.3273339296439
26,A,M.a.,P+L,Legumes,30.9,56.7162790697684,979.916111111111,0.03809854398382268,10.775809120910788,20.08609233510539
26,B,M.a.,P+L,Legumes,96.28,358.816279069767,392.455,0.34546831348837165,0.8149893560749777,95.11954233043666
26,C,M.a.,P+L,Legumes,77.82,403.316279069768,290.60125,0.4755465581395354,0.6188130001964427,76.72564044166401
27,A,T.p.,P+L,Legumes,28.86,50.0162790697667,908.136111111111,0.031379778564205804,20.95331386841843,7.875306353017365
27,B,T.p.,P+L,Legumes,35.72,160.916279069767,228.095,0.057479294883720763,0.16739870726151818,35.49512199785476
27,C,T.p.,P+L,Legumes,84.9,142.716279069768,416.44125,0.1835850317124743,0.7501510960603296,83.9662638722272
28,A,L.c.,P+L,Legumes,27.4,89.6162790697686,874.586111111111,0.053380131445905636,10.135724753227583,17.210895115326508
28,B,L.c.,P+L,Legumes,50.34,401.016279069768,355.595,0.2018715948837212,0.29205953362464016,49.846068871491646
28,C,L.c.,P+L,Legumes,72.26,239.116279069769,264.41125,0.2617960958421441,0.6533177971775811,71.34488610698028
29,A,M.s.,P+L,Legumes,33.6,27.2162790697683,225.466111111111,0.019879716885743803,0.8503141909954863,32.72980609211877
29,B,M.s.,P+L,Legumes,49.52,102.016279069768,306.285,0.050518461395349115,0.3921595905691856,49.07732194803547
29,C,M.s.,P+L,Legumes,86.1,377.816279069767,329.57125,0.4928785095137414,1.3966216851884896,84.21049980529776
30,A,T.r.,P+L,Legumes,24.38,37.1162790697688,814.3661111111114,0.019671627906977462,11.628431807639648,12.731896564453374
30,B,T.r.,P+L,Legumes,38.68,91.3162790697686,304.455,0.035321136744186486,0.25482086215846533,38.389858001097345
30,C,T.r.,P+L,Legumes,29.62,34.1162790697669,271.09125,0.015310972515855992,0.7162694692993962,28.88841955818475
32,A,F.o.,L,Grass,51.32,0,357.296111111111,0,11.134771555154332,40.18522844484567
32,B,F.o.,L,Grass,53.64,0,481.125,0,9.756112477776407,43.883887522223596
32,C,F.o.,L,Grass,63.18,0,284.42125,0,2.7094972424129837,60.47050275758701
33,A,A.o.,L,Grass,57,0,881.356111111111,0,25.6701506835786,31.3298493164214
33,B,A.o.,L,Grass,40.08,0,1017.085,0,8.818629944901296,31.261370055098702
33,C,A.o.,L,Grass,34.7,0,530.48125,0,5.984802175156837,28.715197824843166
34,A,D.g.,L,Grass,55.46,0,452.836111111111,0,23.10179060722066,32.358209392779344
34,B,D.g.,L,Grass,50.22,0,434.475,0,2.764390827125363,47.45560917287464
34,C,D.g.,L,Grass,75.76,0,485.73125,0,2.3883346110421217,73.37166538895788
