;;;;; (µgC/gsol); (µgN/gsol); (µgN/gsol);(µgN/gsol);ppm/h/gsol ;;µgN/gsol/h; (µgC/gsol); (µgC/gsol); (µgN/gsol); (µgN/gsol);
Numero;Bloc;Sp;gf;mod;C_micro;N_micro;DIN;TDN ;Respi_sol;pH;N_net_min;C_NF;C_F;N_NF;N_F;
34;A;D.g.;Grass;L;174,94;36,82;95,90813149;44,01903114;7,17;6,02;0,07843391;55,46;230,4;80,30;144,06;
35;A;H.l.;Grass;L;141,06;35,55;85,53870179;92,32854427;6,49;6,17;-0,152838023;63,54;204,6;92,33;127,88;
36;A;G.v.;Forbs;L;149,04;23,76;108,3634333;120,1463845;6,50;5,91;-0,093204468;112,96;262;120,15;143,91;
38;A;P.l.;Forbs;L;197,94;24,33;92,33351618;57,29127811;8,79;5,93;0,068415798;50,86;248,8;109,02;166,87;
39;A;C.n.;Forbs;L;168,64;18,55;80,97905932;39,92855003;6,39;6,25;-0,078141162;47,56;216,2;85,20;133,45;
40;A;R.a.;Forbs;L;247,32;40,19;63,19716667;38,08121429;6,89;6,13;0,100192286;52,88;300,2;69,31;139,09;
41;A;M.a.;Leg;L;155,26;33,54;63,22959184;69,89067718;5,91;6,17;-0,090888312;56,74;212;69,89;103,43;
42;A;T.p.;Leg;L;155,22;13,13;104,2483951;108,5806173;6,53;6,02;-0,261308642;131,18;286,4;108,58;121,71;
43;A;L.c.;Leg;L;224,9;38,95;81,3721374;66,83187023;6,87;6,11;0,049090076;56,9;281,8;90,44;148,60;
44;A;M.s.;Leg;L;214,26;18,09;62,106;53,73903614;6,08;5,77;0,007074506;52,34;266,6;73,74;119,86;
45;A;T.r.;Leg;L;200,86;49,31;109,5216026;115,9920953;7,02;6,26;0,000544884;67,34;268,2;115,99;165,30;
46;A;;;T;96,06;33,82;92,45043573;105,579085;6,34;5,92;-0,030244009;137,74;233,8;105,58;139,40;
47;A;;;T;132,2;60,67;93,95818572;99,20424047;5,49;6,04;0,012375309;59,98;192,18;99,20;159,87;
1;B;N.s.;Grass;P;275,2;71,03;11,14194397;19,46832111;7,83;6,45;0,176730964;77,8;353;19,47;90,50;
2;B;F.o.;Grass;P;189,3;37,84;2,81256182;10,41926311;7,22;6,55;0,065455984;86,3;275,6;10,42;48,26;
